1,2,20,3,21,4,18,6,5,19,7,9,17,8,16,10,14,12,11,15,13,0
0,2,20,3,21,4,18,6,5,19,7,9,17,8,16,10,14,12,11,15,13,1
3,1,4,5,0,20,6,18,21,7,19,9,17,8,16,10,14,12,11,15,13,2
2,1,4,5,0,20,6,18,21,7,19,9,17,8,16,10,14,12,11,15,13,3
5,2,6,3,18,1,7,20,8,16,9,17,19,0,21,10,14,12,11,15,13,4
4,2,6,3,7,8,16,1,18,9,17,20,10,14,0,19,12,21,11,15,13,5
18,4,7,19,5,2,20,8,16,1,17,9,21,3,14,10,0,12,11,15,13,6
16,8,6,17,9,14,10,18,4,12,19,5,15,11,20,2,13,1,21,3,0,7
9,10,7,11,16,12,6,14,4,18,5,19,17,13,15,2,20,1,3,21,0,8
8,10,7,11,6,4,18,12,16,5,19,14,2,20,13,17,1,15,3,21,0,9
11,12,8,9,13,14,7,16,15,6,17,5,19,18,4,2,20,1,3,21,0,10
10,12,8,9,13,14,7,16,15,6,17,5,19,4,18,2,20,1,3,21,0,11
13,10,14,15,11,16,8,7,9,17,6,19,5,18,4,20,2,1,21,3,0,12
12,14,10,15,11,16,8,7,17,9,6,19,5,18,4,20,2,1,21,3,0,13
15,12,16,17,13,10,7,8,11,6,9,19,5,18,4,20,2,1,21,3,0,14
14,12,16,17,13,10,7,8,11,6,9,19,5,18,4,20,2,1,21,3,0,15
17,14,7,15,8,12,6,10,18,4,19,5,9,13,11,20,2,1,21,3,0,16
16,14,7,15,6,18,4,12,8,19,5,10,20,2,13,9,1,11,21,3,0,17
19,20,6,21,4,1,7,2,16,8,17,9,5,0,3,14,10,12,15,11,13,18
18,20,6,21,7,16,8,1,4,17,9,2,14,10,0,5,12,3,15,11,13,19
21,1,18,19,0,2,6,4,3,7,5,17,9,8,16,14,10,12,15,11,13,20
20,1,18,19,0,2,6,4,3,7,5,17,9,16,8,14,10,12,15,11,13,21
