1,3,2,4,5,6,7,8,9,11,10,16,12,14,15,17,13,18,0
2,0,3,4,5,6,7,8,9,11,10,12,16,14,15,17,13,18,1
1,3,0,4,5,6,8,11,7,9,10,12,14,16,15,13,17,18,2
1,0,2,4,5,6,7,10,8,9,11,12,16,17,15,14,13,18,3
5,1,6,3,0,2,7,8,9,11,10,16,12,14,15,17,13,18,4
6,4,7,8,9,1,11,10,3,2,12,0,14,16,15,17,13,18,5
8,7,5,9,11,10,4,12,16,14,15,17,13,1,18,3,2,0,6
6,8,16,5,9,10,4,15,17,12,11,14,18,13,1,3,2,0,7
6,7,5,9,14,4,12,11,16,15,10,13,17,18,1,2,3,0,8
10,11,12,6,13,7,14,8,15,5,17,16,18,4,1,3,2,0,9
9,11,6,12,17,13,7,5,15,8,14,16,18,4,3,1,2,0,10
9,10,12,6,13,14,5,8,7,15,17,4,16,18,2,1,3,0,11
14,13,9,15,11,10,18,17,16,6,8,7,5,4,1,3,2,0,12
12,14,9,15,11,18,10,17,16,6,8,7,5,4,1,3,2,0,13
12,13,15,9,8,11,16,18,6,10,17,7,5,4,1,2,3,0,14
16,17,18,12,13,14,9,7,10,6,8,11,5,4,1,3,2,0,15
15,18,17,7,12,14,6,8,9,13,10,11,5,4,1,3,2,0,16
15,18,16,12,10,13,9,7,6,14,11,8,5,4,3,1,2,0,17
15,16,17,12,13,14,9,7,10,6,8,11,5,4,1,3,2,0,18
