1,3,2,5,4,10,6,12,8,7,16,11,19,14,9,13,17,15,22,18,20,24,21,23,27,25,26,32,29,28,31,30,0
0,3,2,5,4,6,12,10,7,8,11,16,19,14,13,9,17,22,15,20,18,24,21,23,27,26,25,32,29,28,31,30,1
1,0,3,4,5,6,12,10,7,8,11,19,16,13,14,9,17,22,20,15,18,24,23,21,27,26,25,32,28,29,31,30,2
4,5,1,6,0,2,12,7,10,8,11,13,9,16,14,19,22,17,15,20,18,21,24,23,27,32,26,25,29,28,31,30,3
3,5,1,6,2,0,12,7,8,10,11,13,19,22,9,14,16,17,20,15,21,24,27,18,23,32,26,25,29,28,30,31,4
3,6,4,1,7,10,0,12,8,11,2,9,13,16,14,19,17,22,15,20,18,21,24,23,27,32,26,25,29,28,31,30,5
5,7,3,8,4,12,10,11,13,1,9,0,14,2,16,22,15,19,17,20,21,18,23,32,24,27,26,25,29,31,28,30,6
6,8,9,10,5,11,13,12,3,14,4,16,15,1,0,22,17,19,20,21,2,18,32,23,24,27,26,25,29,31,30,28,7
10,9,11,7,13,12,14,6,16,5,15,17,3,19,22,20,21,0,18,4,1,23,32,24,2,25,27,26,29,31,28,30,8
8,10,7,11,15,13,14,16,12,6,5,17,21,20,22,18,19,3,0,4,1,32,23,25,24,29,26,31,27,2,30,28,9
8,9,7,11,16,5,12,14,6,15,13,0,3,17,1,19,4,18,22,20,21,2,23,24,25,32,27,26,29,31,28,30,10
12,13,14,8,15,16,9,10,17,7,22,19,20,6,21,5,18,3,23,24,4,32,0,25,1,27,26,29,31,2,28,30,11
11,13,14,8,19,10,17,6,22,16,5,7,20,15,9,3,4,21,18,1,0,24,23,27,2,32,26,25,29,28,31,30,12
11,12,22,8,14,15,9,21,20,7,17,6,10,16,19,32,18,5,23,27,24,26,29,25,3,4,31,30,1,28,0,2,13
15,16,11,17,18,12,13,19,8,20,9,21,10,22,23,7,24,25,6,5,32,26,27,29,31,3,0,1,28,4,30,2,14
14,16,17,11,9,21,18,13,8,20,10,12,19,22,23,7,25,32,24,6,31,26,29,5,27,28,3,30,0,1,4,2,15
14,15,17,11,10,18,19,8,12,9,13,20,21,22,7,5,23,6,24,25,0,3,1,26,32,4,27,29,31,2,28,30,16
19,18,20,14,16,21,15,22,23,11,24,12,25,13,26,8,10,27,9,32,29,31,28,7,6,5,30,3,0,1,4,2,17
17,19,14,20,25,16,15,23,21,24,22,11,12,13,26,31,8,29,32,28,27,9,10,30,7,5,6,0,3,1,4,2,18
17,18,20,14,24,12,16,22,23,11,21,15,25,13,26,8,27,10,9,28,32,29,5,7,6,31,3,0,1,4,30,2,19
22,21,23,17,18,24,25,19,26,14,13,32,15,27,29,11,12,31,16,28,30,8,9,10,7,6,5,3,4,1,0,2,20
20,22,32,23,17,15,25,13,29,14,18,31,26,11,24,19,27,12,16,30,28,9,8,10,7,6,5,3,4,0,1,2,21
20,21,13,23,17,27,19,26,12,32,11,24,14,29,25,18,15,28,31,16,8,30,9,7,6,10,5,3,4,1,0,2,22
25,24,26,20,28,22,21,27,17,29,18,31,19,32,30,14,15,13,11,12,16,8,9,10,7,6,5,3,4,1,0,2,23
23,25,26,20,19,28,27,17,22,18,21,29,31,32,14,12,30,11,13,16,15,8,10,9,6,7,5,3,4,1,0,2,24
23,24,26,20,18,31,28,21,17,29,22,27,19,32,30,14,15,16,13,11,12,8,9,10,7,6,5,3,4,0,1,2,25
27,28,29,23,24,25,30,32,31,20,22,21,17,19,18,13,14,15,11,12,16,8,9,7,10,6,5,3,4,1,0,2,26
26,28,29,23,22,24,32,30,20,25,31,21,17,19,13,18,12,14,11,15,16,8,6,9,7,10,5,4,3,1,0,2,27
26,27,23,29,24,25,30,31,32,20,22,21,17,18,19,14,13,15,12,11,16,8,9,10,7,6,5,3,4,1,0,2,28
31,32,30,26,28,27,23,21,25,20,22,24,17,18,13,19,15,14,11,12,16,8,9,7,10,6,5,3,4,1,0,2,29
29,32,31,26,28,27,23,21,25,20,22,24,17,13,18,19,15,14,11,12,16,8,9,7,6,10,5,4,3,1,0,2,30
29,30,32,26,25,28,23,21,20,27,24,22,18,17,15,13,19,14,11,12,16,9,8,7,10,6,5,3,4,1,0,2,31
29,30,31,21,26,27,22,20,23,28,25,13,24,17,15,18,14,11,19,12,8,16,9,7,6,10,5,3,4,1,0,2,32
