1,2,3,4,6,9,7,5,8,10,13,16,11,23,21,20,14,18,12,22,15,17,19,0
2,0,3,4,6,9,7,5,8,10,13,11,23,16,21,14,20,12,18,22,17,15,19,1
3,1,4,0,5,6,7,9,8,10,23,21,13,11,16,20,18,14,22,12,17,19,15,2
2,1,4,0,5,8,7,6,9,23,10,21,20,16,11,18,13,14,22,17,19,12,15,3
5,6,2,7,9,1,8,3,10,23,21,0,11,13,22,16,20,18,12,14,17,19,15,4
4,6,2,7,23,3,8,10,21,1,9,22,11,18,20,0,13,12,16,14,19,17,15,5
4,5,7,2,1,9,10,3,8,13,11,23,0,21,12,22,14,16,18,20,17,15,19,6
8,9,10,4,6,5,21,11,2,23,13,16,3,14,1,20,18,22,12,17,15,0,19,7
7,9,20,10,4,23,21,16,18,2,5,3,11,14,6,17,13,1,22,19,12,15,0,8
7,8,13,10,4,11,16,2,6,1,14,21,5,3,12,20,23,15,18,0,17,22,19,9
11,7,21,22,12,8,23,13,9,4,14,18,6,5,16,17,20,15,19,2,1,3,0,10
13,12,10,14,21,15,7,16,17,9,22,18,8,20,23,4,6,19,5,2,1,3,0,11
11,13,10,14,22,21,15,17,18,7,16,9,23,19,8,20,6,4,5,2,1,3,0,12
11,12,9,10,14,7,15,16,21,6,17,8,4,22,18,23,20,2,5,1,19,3,0,13
16,15,17,11,18,12,13,10,20,21,9,7,8,22,19,23,4,6,5,2,1,3,0,14
14,16,17,11,12,13,18,10,9,20,21,7,22,19,8,23,4,6,5,2,1,3,0,15
14,15,17,11,20,9,8,18,13,7,10,21,12,19,23,22,4,2,6,5,3,1,0,16
18,14,20,15,19,16,11,21,12,22,10,8,13,23,7,9,4,5,6,2,3,1,0,17
20,19,17,21,14,22,23,10,16,8,11,7,12,15,9,13,4,5,6,2,3,1,0,18
18,20,17,21,22,23,14,10,8,11,16,12,15,7,13,9,5,4,6,2,3,1,0,19
18,19,17,8,21,16,14,23,10,7,11,22,9,15,12,4,13,5,3,2,6,1,0,20
23,22,10,18,11,7,19,20,8,17,12,14,5,16,4,9,13,6,15,2,3,1,0,21
21,23,10,18,12,19,11,17,14,7,20,8,5,13,4,16,15,9,6,2,3,1,0,22
21,22,10,18,8,5,7,20,19,4,11,17,9,6,12,14,2,16,3,13,15,1,0,23
