1,3,2,4,16,17,14,13,5,15,8,6,7,12,9,11,10,0
2,0,3,4,5,13,16,14,17,6,8,15,7,9,12,11,10,1
1,3,0,4,16,13,14,5,17,15,8,6,7,9,11,12,10,2
1,0,2,4,5,13,16,6,14,17,8,7,15,9,12,11,10,3
5,13,1,2,0,3,6,8,14,7,16,17,15,9,12,11,10,4
6,4,7,13,1,3,8,2,0,14,16,9,17,15,10,12,11,5
5,7,4,8,13,1,9,10,3,14,11,2,0,12,17,16,15,6
6,8,5,13,9,10,4,11,12,14,15,1,17,16,3,0,2,7
7,13,9,11,12,10,6,4,14,5,15,17,16,1,0,2,3,8
11,12,10,8,7,13,15,14,17,6,4,16,5,1,0,2,3,9
9,12,11,8,7,13,15,6,14,17,4,5,16,1,0,2,3,10
9,10,12,8,15,13,14,7,17,16,4,6,5,1,2,0,3,11
9,10,11,8,15,17,14,13,7,16,4,6,5,0,1,2,3,12
4,8,14,17,16,15,7,5,9,1,6,0,12,11,2,10,3,13
17,16,15,13,4,8,0,12,9,1,2,11,7,5,10,3,6,14
14,16,17,13,12,11,9,8,4,10,0,7,1,2,5,6,3,15
14,15,17,13,0,2,1,4,8,3,12,5,9,11,7,6,10,16
14,15,16,13,12,0,8,4,9,1,11,2,7,5,10,3,6,17
