1,3,2,4,5,13,7,16,6,8,11,10,14,15,9,12,17,0
3,2,0,4,5,7,16,6,13,8,11,14,10,9,17,15,12,1
1,0,3,7,5,16,4,6,14,8,13,11,17,9,15,10,12,2
1,4,5,0,6,2,7,8,13,10,11,16,9,14,12,17,15,3
3,1,5,0,10,13,6,8,11,2,7,9,16,12,14,17,15,4
7,6,3,8,10,9,4,1,11,2,16,13,14,17,0,12,15,5
5,7,3,8,9,10,4,1,2,11,16,13,14,0,17,12,15,6
5,6,16,8,3,2,9,1,14,17,11,10,4,13,0,15,12,7
9,10,11,5,12,6,7,13,14,3,17,4,16,1,15,2,0,8
8,10,11,5,17,6,7,12,14,13,16,3,15,4,1,2,0,9
8,9,11,5,12,6,4,13,3,7,14,17,16,1,15,2,0,10
13,12,8,14,10,9,16,15,17,5,7,3,4,6,1,2,0,11
11,13,8,14,10,15,9,17,16,5,7,3,4,6,1,2,0,12
11,12,14,8,16,10,15,3,4,5,1,9,17,7,0,2,6,13
17,16,15,11,12,13,8,7,9,5,10,3,2,1,6,4,0,14
14,16,17,11,12,13,8,9,7,5,10,3,2,1,4,6,0,15
14,15,17,7,11,13,5,2,8,3,1,12,9,6,10,4,0,16
14,15,16,11,9,12,8,7,5,13,10,6,3,2,1,4,0,17
