1,2,3,18,4,17,5,6,8,7,9,10,11,16,12,15,13,14,0
2,0,18,3,17,4,5,6,8,7,9,10,11,16,12,15,13,14,1
1,3,18,0,4,17,5,6,8,7,9,10,11,16,12,15,13,14,2
2,4,18,5,1,17,0,6,8,7,9,10,11,16,12,15,13,14,3
5,3,17,2,6,18,8,7,1,0,9,10,11,16,12,15,13,14,4
17,4,6,18,3,7,2,8,9,1,10,0,11,16,12,15,13,14,5
7,5,8,9,17,4,10,18,3,2,11,1,16,12,0,15,13,14,6
6,8,9,5,10,4,17,11,3,18,12,16,2,13,15,1,14,0,7
7,6,9,5,4,10,17,3,11,18,2,12,16,1,0,13,15,14,8
10,7,8,6,11,12,16,5,4,17,13,15,14,3,18,2,1,0,9
9,11,12,16,7,8,6,13,15,14,5,4,17,3,18,2,1,0,10
12,16,10,13,15,9,14,7,8,6,5,4,17,3,18,2,1,0,11
13,11,14,16,10,15,9,7,8,6,5,17,4,18,3,2,1,0,12
14,12,15,11,16,10,9,7,8,6,5,17,4,18,3,2,1,0,13
15,13,16,12,11,10,9,7,8,6,5,4,17,3,18,2,1,0,14
14,16,13,11,12,10,9,7,8,6,5,4,17,3,18,2,1,0,15
15,11,14,12,10,13,9,7,6,8,5,4,17,3,18,2,1,0,16
18,5,4,2,6,3,1,7,8,0,9,10,11,12,16,13,15,14,17
2,17,1,3,5,4,0,6,7,8,9,10,11,12,16,13,15,14,18
