1,2,8,3,6,7,4,5,16,9,11,17,15,10,12,13,18,14,19,20,21,0
0,2,3,8,4,6,7,5,9,11,16,10,17,12,15,13,14,18,19,20,21,1
1,3,5,4,0,6,7,8,9,10,11,16,12,13,15,17,14,18,20,19,21,2
4,5,2,6,8,7,1,9,10,11,0,12,13,16,15,17,14,18,20,21,19,3
3,5,2,6,11,8,1,9,10,7,0,12,17,16,15,14,13,18,21,20,19,4
3,4,2,6,10,7,9,11,8,1,12,13,0,14,16,15,17,18,20,21,19,5
7,8,9,3,11,10,5,4,2,12,16,13,1,15,17,0,14,18,20,21,19,6
6,8,3,9,13,5,12,16,10,2,15,11,4,1,0,14,17,18,20,19,21,7
6,7,16,3,9,11,1,4,17,15,2,12,0,10,5,13,14,18,19,20,21,8
11,10,6,12,14,8,13,7,3,15,17,5,4,16,18,2,21,20,1,19,0,9
9,11,12,6,5,14,13,3,7,4,8,15,17,16,2,18,21,20,1,0,19,10
9,10,6,12,17,4,14,8,3,15,5,13,7,16,18,2,21,1,20,19,0,11
13,14,15,9,10,16,17,11,18,6,7,20,21,8,19,3,5,4,2,1,0,12
12,14,15,9,20,7,10,16,18,6,21,17,11,8,19,3,5,4,2,1,0,13
12,13,9,15,21,10,11,18,17,20,16,6,19,7,8,3,5,4,2,1,0,14
17,16,12,18,14,13,19,20,21,9,8,11,6,7,10,3,4,5,2,1,0,15
15,17,8,18,12,13,19,20,6,7,9,14,21,11,10,3,1,0,4,2,5,16
15,16,12,18,11,19,21,9,8,14,6,13,20,10,7,4,3,1,5,2,0,17
21,20,19,15,16,17,12,14,13,9,11,8,6,7,10,3,4,5,2,1,0,18
18,21,20,15,16,17,12,14,13,8,9,11,6,7,10,3,4,0,1,5,2,19
18,19,21,15,13,16,12,14,17,9,7,8,6,10,11,3,5,4,2,1,0,20
18,19,20,15,14,17,12,13,16,9,11,10,8,6,7,3,4,5,2,1,0,21
