1,2,3,4,8,11,6,5,9,7,10,14,12,16,13,15,18,17,0
0,2,3,4,5,6,11,8,9,10,7,12,14,16,13,15,18,17,1
1,0,3,5,11,6,9,10,4,8,7,12,16,14,15,18,13,17,2
5,4,6,1,7,8,2,0,9,10,11,12,13,14,15,18,16,17,3
3,5,6,1,7,8,0,2,9,10,11,12,13,14,15,18,16,17,4
3,4,6,1,10,2,7,9,11,8,0,12,13,14,18,15,16,17,5
8,7,9,3,4,11,10,5,1,12,14,13,0,2,15,16,18,17,6
6,8,3,9,13,4,5,12,10,14,11,1,15,0,2,18,16,17,7
6,7,9,3,14,4,11,12,1,0,13,10,5,2,15,16,18,17,8
10,11,12,6,7,8,14,13,15,3,16,18,5,1,2,17,0,4,9
9,11,12,6,18,5,13,7,15,3,16,2,1,8,14,17,4,0,10
9,10,12,6,16,1,8,14,15,2,3,0,18,5,7,13,17,4,11
13,14,9,15,11,10,17,16,18,6,7,8,3,5,1,4,2,0,12
12,14,15,9,7,17,10,18,6,8,11,16,3,5,4,1,2,0,13
12,13,15,9,8,17,11,16,6,7,10,18,3,1,0,5,4,2,14
18,16,17,12,13,14,9,11,10,6,7,8,3,5,1,2,0,4,15
15,17,18,12,11,14,9,10,13,6,8,7,1,2,3,0,5,4,16
15,16,18,12,13,14,9,11,10,6,7,8,3,5,1,2,0,4,17
15,17,16,12,10,13,9,11,14,6,7,8,5,3,2,1,0,4,18
