1,2,3,4,8,6,7,5,9,13,14,12,10,11,15,17,16,21,19,18,22,23,20,0
0,2,3,4,5,6,7,8,9,10,14,12,13,11,15,16,17,19,18,21,22,20,23,1
1,0,3,5,7,6,4,8,9,10,14,11,12,13,15,16,17,19,18,21,22,20,23,2
5,4,6,1,8,7,2,0,9,14,10,12,13,11,15,16,17,19,18,21,22,20,23,3
3,5,14,6,1,8,13,0,12,9,2,7,10,11,15,19,16,18,21,17,22,23,20,4
3,4,6,1,10,2,14,9,7,12,0,8,13,11,16,15,19,17,18,21,20,22,23,5
8,7,3,9,11,4,10,5,1,12,13,14,0,2,15,17,16,18,19,21,22,20,23,6
6,8,9,3,11,1,10,5,2,0,4,12,13,14,15,16,17,18,19,21,22,20,23,7
6,7,9,3,13,11,4,1,12,0,10,5,14,2,15,17,16,22,21,18,19,20,23,8
10,11,12,6,7,8,14,13,15,3,16,5,17,4,1,18,19,21,2,0,22,20,23,9
9,11,12,6,16,5,7,14,15,3,17,8,13,4,1,18,19,2,20,21,0,22,23,10
9,10,6,12,17,7,8,15,13,16,14,3,5,4,18,22,1,21,20,19,2,0,23,11
14,13,15,9,16,11,10,17,18,6,4,19,8,21,3,5,22,20,7,23,1,0,2,12
12,14,15,9,8,21,17,4,6,11,22,18,3,19,16,10,23,5,7,20,1,0,2,13
12,13,4,15,9,19,10,5,18,16,3,6,21,17,11,8,20,22,7,1,23,0,2,14
17,16,12,18,14,20,13,19,9,21,11,22,10,23,6,8,4,3,5,7,1,0,2,15
15,17,18,12,10,20,19,9,14,11,13,21,22,6,5,23,3,4,7,8,1,2,0,16
15,16,12,18,11,22,20,13,9,21,10,14,19,23,6,8,7,4,3,5,1,0,2,17
19,20,21,15,16,17,23,22,12,14,13,9,11,10,4,6,8,3,5,7,1,0,2,18
18,20,21,15,14,16,23,12,13,22,17,9,10,4,11,5,6,3,8,7,1,0,2,19
18,19,15,21,23,16,17,22,12,14,13,9,11,10,6,4,8,5,3,7,1,0,2,20
22,23,18,19,20,15,13,17,12,14,16,9,11,4,10,8,6,3,5,7,1,0,2,21
21,23,18,17,20,15,13,12,19,16,14,11,9,8,6,10,4,3,7,5,1,0,2,22
21,22,18,20,19,15,13,17,12,14,16,9,4,11,10,8,6,3,5,7,1,0,2,23
