1,2,3,4,8,6,7,9,5,12,10,11,17,20,18,19,14,13,15,16,21,24,22,23,0
2,0,3,4,6,8,7,5,9,12,10,11,17,20,18,19,14,13,15,16,21,24,22,23,1
3,1,4,0,5,6,7,9,8,10,20,12,18,11,19,17,14,13,21,16,15,24,22,23,2
2,1,4,0,5,9,7,6,8,20,10,18,19,12,11,17,14,21,13,24,16,23,15,22,3
5,6,2,7,8,9,1,3,10,19,12,17,11,18,20,0,14,13,16,15,21,22,24,23,4
4,6,7,2,19,20,3,9,18,10,17,1,8,11,14,12,16,21,0,13,23,15,22,24,5
4,5,17,7,2,12,1,8,11,10,14,19,3,9,18,15,0,16,20,13,21,22,24,23,6
9,8,10,4,6,5,18,11,2,12,20,19,1,3,13,17,14,21,24,16,0,22,15,23,7
7,9,10,12,4,2,6,11,1,13,5,18,3,20,0,14,19,17,21,24,15,16,22,23,8
7,8,20,10,4,2,18,5,3,6,19,11,1,12,21,24,13,0,14,17,23,22,16,15,9
18,7,11,13,8,9,19,12,20,21,4,14,24,22,5,6,17,16,23,15,2,1,3,0,10
12,13,10,14,18,15,16,17,7,19,8,6,22,4,21,20,9,5,24,23,2,1,3,0,11
11,13,8,10,14,7,6,15,17,4,16,18,19,9,5,1,2,22,21,20,24,3,0,23,12
11,12,10,14,22,16,15,18,21,24,7,19,8,17,20,6,9,23,4,5,2,1,3,0,13
17,16,15,11,12,13,19,10,18,6,22,7,21,4,5,8,20,23,24,9,2,1,3,0,14
14,16,17,11,12,13,10,6,19,22,18,7,4,21,8,5,20,23,24,9,2,1,3,0,15
14,15,17,19,11,22,13,18,21,10,12,23,6,20,24,7,5,4,8,9,2,1,3,0,16
14,16,15,6,11,19,12,5,4,10,18,7,13,22,8,20,21,2,9,1,23,3,24,0,17
19,20,10,21,24,23,22,11,7,9,5,16,13,14,4,17,12,8,6,15,2,3,1,0,18
18,20,10,16,21,5,17,14,11,23,22,7,4,6,13,9,24,12,15,8,2,3,1,0,19
18,19,9,10,21,7,23,5,24,4,22,11,8,2,16,6,13,14,3,17,12,1,15,0,20
22,23,24,18,20,19,10,13,16,11,14,7,9,17,5,12,8,4,15,6,2,3,1,0,21
21,24,23,18,16,13,19,11,10,14,20,15,17,12,7,9,5,8,4,6,2,3,1,0,22
21,22,24,18,20,19,16,10,11,13,14,9,7,5,17,4,12,15,8,6,2,3,1,0,23
21,22,23,18,20,10,13,19,11,9,7,16,14,8,12,5,4,17,15,6,2,3,1,0,24
