1,2,3,5,7,10,6,4,9,8,11,14,12,17,13,15,16,23,18,22,21,20,19,24,26,25,29,27,28,30,31,32,34,33,35,36,39,38,37,0
0,2,3,5,4,6,10,7,9,11,8,12,14,13,17,15,16,18,23,22,20,21,19,24,25,26,29,28,27,30,31,32,34,35,33,36,39,38,37,1
1,0,3,4,10,6,11,9,5,7,8,12,16,17,14,15,13,18,20,23,19,22,21,24,25,29,28,26,27,30,31,32,34,35,33,36,39,38,37,2
4,5,6,1,8,7,2,0,9,11,10,12,14,13,15,16,17,23,18,20,21,22,19,24,25,26,28,29,27,30,32,31,35,33,34,36,38,39,37,3
3,5,6,1,11,2,8,9,10,7,0,12,13,16,14,15,17,18,20,23,21,19,22,24,25,28,26,27,29,30,32,31,35,33,34,36,38,39,37,4
3,4,6,1,8,7,0,2,9,11,10,12,14,13,15,16,17,23,18,20,21,22,19,24,25,26,28,27,29,30,32,31,35,33,34,36,38,39,37,5
7,8,9,3,5,11,10,4,1,12,14,13,0,2,15,16,17,23,18,20,21,22,19,24,25,26,28,27,29,30,32,31,35,33,34,36,38,39,37,6
6,8,9,3,14,5,10,1,12,0,13,11,4,2,15,17,23,16,18,21,22,20,19,24,25,26,29,27,28,30,31,32,33,34,35,36,39,38,37,7
6,7,3,9,13,5,4,11,12,14,10,1,15,0,2,16,23,17,20,18,21,22,19,25,24,26,28,27,29,32,30,31,35,33,34,36,38,39,37,8
11,10,6,12,14,8,7,13,15,3,16,4,17,1,2,0,5,18,23,20,21,22,19,24,25,26,28,29,27,30,32,31,35,33,34,36,38,39,37,9
9,11,6,12,17,1,7,14,15,2,3,16,0,4,8,13,5,18,22,23,21,19,20,24,29,25,26,28,27,30,31,32,34,35,33,36,39,38,37,10
9,10,6,12,16,4,13,8,3,15,2,1,17,14,7,5,18,20,0,19,23,21,22,24,25,28,27,29,26,30,32,35,31,33,34,36,38,39,37,11
13,14,15,9,17,16,10,11,6,18,23,8,7,20,21,22,19,3,4,1,24,25,5,2,0,26,28,27,29,30,32,31,35,33,34,36,38,39,37,12
12,14,15,9,8,20,11,23,18,6,16,21,7,17,10,19,22,3,25,4,24,5,1,26,28,27,2,0,29,32,30,31,35,33,34,36,38,39,37,13
12,13,23,9,15,7,17,10,6,21,18,22,8,16,11,20,19,3,24,1,26,25,0,4,5,2,27,29,28,30,31,32,33,34,35,36,39,38,37,14
17,16,12,18,19,14,13,20,9,21,10,11,22,23,6,24,8,7,28,25,29,27,26,3,4,1,2,0,30,5,32,31,35,33,34,36,38,39,37,15
15,17,18,12,11,19,20,9,13,10,14,21,22,23,6,8,28,24,7,4,3,25,27,2,29,1,26,0,5,30,35,32,33,34,31,36,38,39,37,16
15,16,12,18,10,22,19,14,9,21,11,23,13,20,6,24,29,7,28,27,8,26,25,1,2,3,0,4,30,5,31,34,32,35,33,36,39,38,37,17
20,19,21,15,16,23,22,17,24,12,13,28,25,14,27,29,26,9,11,10,30,32,6,8,31,7,35,33,34,3,4,1,36,2,38,0,5,39,37,18
18,20,28,15,21,16,17,22,27,29,24,25,23,12,13,26,14,30,35,32,9,33,34,11,10,31,6,36,8,7,38,39,37,3,4,1,2,0,5,19
