1,2,3,4,6,5,7,15,8,11,10,9,13,14,22,12,16,24,34,17,19,20,27,23,32,28,33,30,29,18,25,21,35,26,38,36,39,31,37,0
2,3,0,4,6,5,7,8,11,15,10,9,13,14,12,22,16,19,34,17,27,24,20,32,28,30,29,33,23,18,21,38,35,25,36,26,31,39,37,1
1,0,3,11,4,15,5,7,10,8,14,6,22,13,19,12,17,9,16,20,24,27,23,28,34,18,21,29,32,25,30,26,33,35,31,38,36,39,37,2
1,2,0,4,8,6,7,11,5,10,9,15,12,13,14,19,22,34,17,32,27,16,28,20,30,24,33,29,18,38,23,21,36,31,35,25,26,39,37,3
5,6,7,1,9,8,0,3,2,10,11,15,13,12,34,14,27,16,32,30,33,17,19,28,29,22,38,24,35,36,20,18,31,39,23,37,21,26,25,4
4,6,7,1,15,0,9,2,13,10,34,14,11,8,3,16,27,12,33,30,29,24,17,32,35,28,19,22,20,36,38,18,23,39,31,26,25,37,21,5
4,5,7,1,9,0,8,3,2,10,34,11,13,15,12,32,14,33,38,27,30,16,36,39,35,28,29,17,19,22,24,31,37,20,18,23,26,21,25,6
8,9,4,10,6,12,5,11,1,13,3,2,32,34,15,27,14,0,30,28,33,19,16,38,29,17,36,31,35,18,22,20,39,24,37,23,21,26,25,7
7,9,4,10,3,12,6,11,1,2,5,13,32,0,15,27,34,30,14,28,19,38,33,17,16,29,31,36,22,35,18,20,39,37,24,21,23,26,25,8
7,8,4,10,34,32,6,12,5,13,30,33,38,27,11,1,36,3,14,28,2,15,31,35,39,29,0,16,37,19,17,18,22,20,24,23,26,21,25,9
11,12,13,7,9,8,14,27,4,15,28,5,32,19,2,30,1,17,34,16,29,6,3,33,18,31,22,20,0,35,38,36,24,23,21,26,37,39,25,10
10,12,2,15,13,19,7,14,8,17,1,4,28,3,27,5,22,9,20,16,18,0,32,6,29,30,21,34,24,23,33,31,26,35,25,38,36,37,39,11
10,11,28,13,7,32,27,8,9,30,19,14,4,17,31,29,15,34,33,2,5,18,1,16,3,6,38,36,35,20,22,37,0,21,24,39,23,26,25,12
14,27,10,15,16,28,29,12,11,7,30,17,34,5,9,19,32,18,33,4,35,8,2,31,20,1,24,22,6,23,36,26,38,3,21,0,37,39,25,13
