1,2,6,7,10,3,4,13,9,12,8,5,11,14,16,15,19,18,17,20,26,25,21,24,23,22,27,29,28,33,30,32,31,0
0,2,6,8,3,7,10,9,4,5,13,12,11,14,16,15,17,19,18,20,25,26,21,24,23,22,27,29,33,28,30,32,31,1
1,3,5,4,0,6,8,7,9,10,13,11,12,14,15,16,17,19,18,20,25,26,21,24,23,22,27,29,33,28,30,32,31,2
4,5,2,1,7,0,6,8,9,13,10,12,14,11,15,16,17,19,18,20,26,21,25,24,23,22,27,29,28,33,32,30,31,3
3,5,2,1,0,7,6,8,13,9,10,12,14,11,15,16,19,18,20,17,26,21,25,24,23,22,27,28,29,33,32,30,31,4
3,4,2,1,7,8,6,0,9,13,10,14,11,12,15,16,17,20,19,18,21,26,25,23,24,22,27,33,28,32,29,30,31,5
7,8,1,9,11,10,2,0,12,14,13,3,5,4,15,16,17,18,20,19,21,25,23,26,24,22,27,33,32,29,30,28,31,6
6,8,1,14,9,13,12,0,3,2,4,5,11,10,15,20,16,17,18,19,21,23,26,25,24,22,27,28,32,33,30,29,31,7
6,7,1,9,11,2,5,10,3,12,14,0,13,4,15,17,16,20,18,19,25,21,23,26,24,22,33,27,32,30,29,28,31,8
11,10,12,6,13,14,15,8,7,16,1,17,0,18,2,20,19,25,3,21,23,26,24,5,4,22,27,33,29,30,32,28,31,9
9,11,12,16,6,13,1,15,0,17,8,14,7,2,18,19,25,20,26,21,24,3,23,4,5,22,27,33,29,30,28,32,31,10
9,10,12,17,6,14,8,15,16,13,7,1,18,20,0,25,2,19,23,21,24,3,26,5,22,4,33,27,32,30,29,28,31,11
14,13,9,15,16,11,17,10,18,6,20,7,19,1,8,0,21,23,25,26,24,22,2,3,4,27,5,33,32,28,30,29,31,12
12,14,15,9,19,7,16,10,18,6,0,20,17,11,1,21,8,26,24,25,2,22,23,3,4,5,27,28,29,32,30,33,31,13
12,13,15,9,20,7,17,11,18,6,19,16,10,8,21,23,1,0,22,25,24,26,2,3,4,5,27,32,33,30,28,29,31,14
17,16,12,18,13,14,19,20,9,21,11,10,25,23,24,26,22,6,7,27,0,33,1,8,32,30,28,29,2,31,3,4,5,15
15,17,18,25,12,10,26,19,13,9,24,21,11,14,20,23,22,27,6,29,0,33,1,7,28,30,32,8,31,2,3,4,5,16
15,16,18,12,11,23,14,21,9,20,25,10,24,19,13,26,22,33,6,27,32,30,7,8,29,28,1,0,31,2,3,4,5,17
19,20,15,21,22,16,17,23,12,24,26,13,14,25,9,27,10,11,28,32,30,33,29,7,6,31,0,1,8,2,3,4,5,18
18,20,15,21,13,26,22,16,12,24,14,17,23,25,27,9,28,10,11,29,32,7,30,6,0,33,1,31,8,2,4,3,5,19
18,19,21,15,14,22,23,12,17,13,16,24,26,9,25,11,32,27,10,7,28,30,6,33,29,8,0,1,31,2,3,4,5,20
23,22,24,18,20,26,25,19,27,15,17,32,16,28,30,33,29,12,14,13,31,9,11,10,6,7,0,1,8,2,3,4,5,21
21,23,18,24,28,20,19,32,27,26,30,25,15,29,33,17,16,31,12,14,13,9,11,10,7,6,0,1,8,2,4,3,5,22
21,22,24,32,18,17,25,20,30,33,15,27,26,19,16,28,31,29,12,14,13,11,9,10,6,7,8,0,1,2,3,4,5,23
25,26,21,27,29,23,22,28,30,18,16,33,19,32,15,17,20,31,12,13,14,10,9,11,6,0,7,1,8,2,3,4,5,24
24,26,21,16,27,33,23,29,17,15,30,18,22,28,32,19,31,20,12,10,11,9,13,14,6,0,7,1,8,2,3,4,5,25
24,25,27,21,19,16,29,28,18,22,15,23,30,17,20,33,32,13,12,31,10,14,9,11,0,6,7,1,8,2,4,3,5,26
28,29,30,24,26,25,31,33,32,21,22,23,18,19,16,15,17,20,12,13,14,10,9,11,6,0,7,1,8,2,3,4,5,27
27,29,24,30,22,26,32,31,21,25,33,23,18,19,20,16,15,17,12,13,14,10,9,11,0,6,7,1,8,2,4,3,5,28
27,28,24,30,26,25,31,33,32,21,22,23,16,18,19,15,17,20,12,13,10,9,14,11,0,6,7,1,8,2,3,4,5,29
32,33,31,27,29,28,24,23,25,21,22,26,18,17,16,15,19,20,12,14,13,11,10,9,6,7,0,8,1,2,3,4,5,30
30,32,33,27,29,28,24,25,23,22,21,26,18,17,16,19,15,20,12,14,13,11,10,9,6,7,0,1,8,2,3,4,5,31
30,31,33,23,27,22,28,21,24,29,25,26,18,20,17,19,15,16,12,14,13,11,9,10,6,7,8,0,1,2,3,4,5,32
30,32,31,27,25,29,24,23,21,28,22,26,17,18,16,15,20,19,12,11,14,10,9,13,6,7,8,0,1,2,3,4,5,33
