1,3,2,4,12,10,7,5,11,8,6,13,9,14,16,17,15,0
0,2,3,4,6,5,7,8,10,12,9,11,13,16,14,15,17,1
1,3,0,4,8,6,7,5,10,9,12,11,13,16,14,15,17,2
1,2,0,4,5,6,7,12,8,10,9,11,16,14,13,17,15,3
5,6,7,1,8,9,10,3,2,0,12,11,16,14,13,15,17,4
4,6,12,7,16,1,9,3,11,10,0,14,8,2,17,13,15,5
4,5,7,1,9,8,2,3,10,0,16,12,11,14,15,13,17,6
9,8,10,4,6,5,11,1,12,16,14,0,2,15,13,3,17,7
7,9,10,4,6,2,1,11,0,5,12,16,14,15,13,3,17,8
7,8,10,16,4,14,6,15,11,5,12,13,1,17,0,2,3,9
7,11,13,8,9,12,4,14,15,0,5,16,1,6,17,2,3,10
12,13,10,14,7,17,16,15,9,5,4,8,0,1,6,3,2,11
11,13,10,5,14,16,7,17,4,0,1,9,15,8,3,6,2,12
11,12,10,14,17,15,7,16,9,0,5,4,8,1,6,2,3,13
15,16,17,11,13,12,10,9,7,5,4,8,6,0,1,3,2,14
14,17,16,11,9,13,10,7,12,8,5,4,6,0,1,2,3,15
14,17,15,9,11,5,12,7,10,4,13,6,8,1,0,3,2,16
14,16,15,11,13,12,10,9,5,7,4,8,0,6,1,3,2,17
