1,2,3,4,8,5,7,9,6,10,13,11,14,12,18,15,17,16,0
3,0,2,4,5,6,7,9,8,10,11,13,12,18,14,17,15,16,1
1,3,0,4,5,6,7,9,8,10,11,13,18,12,14,17,15,16,2
1,2,0,4,9,6,7,8,5,10,11,12,13,18,14,17,15,16,3
5,6,7,1,9,8,2,0,3,10,11,13,18,12,14,17,15,16,4
4,6,1,7,2,8,0,13,10,18,14,11,9,3,17,15,12,16,5
4,5,1,7,11,2,3,9,10,13,8,0,18,12,14,17,15,16,6
8,9,4,10,12,11,6,5,1,13,0,3,14,18,2,15,17,16,7
7,9,4,10,0,12,5,1,13,14,3,11,6,2,18,15,17,16,8
7,8,4,10,3,12,11,1,6,0,5,13,2,14,18,15,17,16,9
11,12,13,7,9,8,4,14,18,6,5,15,17,1,3,16,0,2,10
10,12,7,13,6,9,18,4,5,8,14,17,1,3,15,16,0,2,11
10,11,7,13,9,8,14,18,4,6,5,15,17,1,16,3,0,2,12
18,14,10,12,11,17,15,7,16,5,8,4,6,9,1,0,3,2,13
15,13,16,18,10,17,12,8,7,5,11,4,9,6,0,1,3,2,14
16,14,17,13,18,10,5,12,8,7,11,4,6,9,0,1,2,3,15
15,17,14,18,13,5,10,12,11,8,7,4,6,9,1,0,2,3,16
16,18,15,13,14,10,5,11,12,4,7,6,8,9,1,0,2,3,17
17,13,16,14,10,11,15,5,12,7,4,6,8,9,1,0,2,3,18
