1,2,3,5,8,6,7,4,9,14,13,12,11,10,22,15,16,17,25,18,19,21,24,26,23,20,28,27,29,31,30,32,38,33,37,35,36,34,39,42,41,40,0
0,2,3,5,4,6,7,8,9,11,13,12,14,10,15,17,22,16,19,18,25,21,24,20,26,23,28,27,29,31,30,32,38,37,33,36,35,34,39,41,42,40,1
1,0,3,4,7,6,5,8,9,11,13,10,12,14,15,17,16,22,19,18,25,21,24,20,23,26,28,27,29,31,30,32,38,37,33,36,35,34,39,41,42,40,2
5,4,6,1,7,8,2,0,9,13,11,12,14,10,15,17,22,16,19,18,25,21,24,20,23,26,28,27,29,31,30,32,38,37,33,36,35,34,39,41,42,40,3
3,5,6,1,11,2,13,9,7,12,0,8,10,14,17,15,19,16,18,22,21,25,20,24,23,28,26,27,31,29,30,32,37,38,33,36,35,34,39,41,40,42,4
3,4,13,6,1,8,14,0,12,9,2,7,11,22,10,15,19,17,18,21,16,25,24,23,20,26,28,27,29,31,30,32,38,37,33,36,35,34,39,41,42,40,5
8,7,3,9,10,4,11,5,1,12,14,13,0,2,15,16,17,22,25,18,19,21,24,20,26,28,23,27,29,31,30,32,38,37,33,36,35,34,39,41,42,40,6
6,8,9,3,10,1,11,4,2,0,5,12,14,13,15,17,16,25,18,22,19,21,24,20,28,26,27,23,29,31,30,38,32,37,36,33,35,34,39,41,42,40,7
6,7,9,3,14,10,5,1,12,0,11,4,13,2,15,16,25,22,17,18,21,24,19,26,20,28,27,23,29,30,31,32,38,33,37,36,35,34,39,42,41,40,8
11,10,12,6,7,14,13,8,15,3,17,4,16,5,1,18,25,19,22,2,0,21,20,24,28,23,27,26,29,31,30,38,32,37,36,33,35,34,39,41,42,40,9
9,11,6,12,16,7,8,15,14,17,13,3,25,4,5,18,1,22,21,19,20,24,28,0,2,27,26,29,23,38,30,31,37,32,36,33,35,34,39,41,42,40,10
9,10,12,6,17,4,7,13,15,3,14,8,16,5,1,18,19,2,20,22,0,25,21,24,28,23,27,26,31,29,30,38,37,32,36,33,35,34,39,41,42,40,11
14,13,9,15,10,17,11,16,6,18,5,22,19,8,3,21,25,4,7,20,24,23,1,28,26,27,0,2,29,31,30,32,38,37,33,36,35,34,39,41,42,40,12
12,14,5,15,9,19,11,4,18,17,3,22,6,21,10,16,8,20,7,25,1,23,24,0,2,26,28,27,31,30,29,32,37,38,33,36,35,34,39,41,40,42,13
12,13,22,9,15,25,8,16,6,5,10,21,18,24,3,17,11,19,26,4,7,23,20,27,1,28,0,29,30,2,31,32,38,33,37,36,35,34,39,42,41,40,14
16,17,12,18,20,19,13,14,9,21,10,25,11,22,24,28,23,27,6,8,5,26,3,31,4,29,7,30,37,38,32,1,36,33,0,2,35,34,39,41,40,42,15
15,17,25,18,12,10,28,20,14,9,24,21,27,19,13,11,22,29,26,23,6,8,30,31,38,7,37,5,3,32,36,4,33,35,1,34,39,41,0,2,42,40,16
15,16,18,12,11,20,19,9,13,10,14,21,28,25,22,6,24,4,23,27,3,5,7,8,31,30,37,26,29,38,1,36,32,33,2,0,35,34,39,41,40,42,17
