1,2,3,4,21,5,16,20,6,11,17,19,18,7,9,12,8,10,13,15,14,0
3,0,2,4,5,21,16,6,11,9,20,17,7,8,19,12,10,18,13,14,15,1
1,0,3,4,5,21,6,9,16,11,7,8,10,17,20,12,19,18,13,14,15,2
1,0,2,4,5,21,6,16,11,7,17,9,20,8,19,12,10,18,14,15,13,3
21,5,1,3,0,2,16,6,11,17,7,20,9,12,8,19,18,10,13,14,15,4
4,6,21,11,7,1,9,16,2,3,8,10,0,12,14,17,13,15,20,18,19,5
5,11,7,8,10,9,16,4,12,21,14,13,15,1,17,2,18,19,3,0,20,6
8,10,9,6,5,11,14,12,13,4,16,15,21,1,2,17,18,3,19,0,20,7
7,9,10,6,14,11,12,5,13,15,16,4,21,17,1,19,2,18,3,20,0,8
7,10,8,6,5,11,14,4,12,13,2,16,21,1,15,3,0,17,18,19,20,9
7,9,8,6,14,13,12,11,5,15,16,4,21,18,17,19,1,2,20,3,0,10
6,16,12,13,14,15,21,5,7,17,4,10,18,8,19,9,20,1,3,2,0,11
13,15,14,11,6,16,10,18,17,7,19,8,21,5,20,9,4,1,3,0,2,12
12,15,14,11,10,18,6,16,17,7,19,8,21,5,20,9,4,1,2,0,3,13
12,15,13,11,10,8,7,6,16,9,18,5,17,19,21,4,20,1,3,2,0,14
12,14,13,11,18,19,17,16,6,20,10,21,7,8,5,4,9,1,3,0,2,15
21,11,17,19,18,20,6,4,12,5,15,13,14,1,7,0,10,8,3,2,9,16
19,18,20,16,21,11,15,12,13,4,6,14,5,1,0,7,10,3,8,2,9,17
17,20,19,16,15,13,12,11,21,14,6,4,5,10,7,8,1,0,9,3,2,18
17,20,18,16,15,11,12,21,13,14,6,4,5,7,1,8,0,10,3,9,2,19
17,18,19,16,21,11,15,4,12,13,0,6,5,1,14,3,2,7,10,8,9,20
4,16,5,11,17,1,20,6,0,3,19,18,2,12,15,7,13,14,9,10,8,21
