1,2,16,17,3,4,15,6,5,13,14,7,11,8,9,12,10,0
0,2,16,17,3,4,15,6,5,13,7,14,11,8,9,12,10,1
3,1,4,5,0,16,6,15,17,7,13,8,9,14,11,10,12,2
2,1,4,5,0,16,6,15,17,7,8,13,9,14,11,10,12,3
5,2,6,3,1,15,7,16,8,0,13,9,17,11,14,10,12,4
4,2,6,8,3,7,1,15,16,9,0,13,11,10,17,14,12,5
4,7,15,5,8,13,16,2,9,11,1,3,10,14,17,0,12,6
8,9,6,10,11,15,4,13,5,12,16,2,14,1,17,3,0,7
7,9,6,5,10,4,11,15,13,2,12,16,1,3,14,17,0,8
10,11,7,8,12,13,6,15,14,4,16,5,2,17,1,3,0,9
9,11,7,8,12,13,6,15,14,4,5,16,2,17,1,3,0,10
12,9,13,14,10,7,15,6,8,16,4,17,1,5,2,0,3,11
11,9,13,14,10,7,15,6,8,16,17,4,1,5,2,0,3,12
14,11,15,12,9,6,16,7,17,10,4,1,8,2,5,0,3,13
13,11,15,17,12,16,9,6,7,1,10,4,2,0,8,5,3,14
13,16,6,14,17,4,7,11,1,2,9,12,0,5,8,10,3,15
17,1,15,0,2,6,13,4,14,3,7,11,5,9,8,12,10,16
16,1,15,14,0,13,2,6,4,11,3,7,9,12,5,8,10,17
