1,3,2,4,5,6,7,9,8,14,10,11,15,13,12,22,16,38,18,20,17,35,33,28,21,36,24,23,37,26,46,19,34,27,47,41,39,25,45,32,29,42,40,31,48,43,30,44,0
3,2,0,4,5,6,7,9,8,10,11,14,15,13,12,22,16,38,18,17,35,20,33,36,21,28,46,37,24,23,19,47,34,41,39,26,45,27,25,42,40,32,48,29,43,44,31,30,1
1,0,3,4,8,5,7,9,6,10,15,14,13,12,11,38,16,22,35,18,33,36,46,17,47,20,37,41,45,39,21,34,19,24,28,23,42,48,40,26,43,25,44,27,32,29,31,30,2
1,0,2,4,9,6,7,8,5,10,11,12,14,13,15,22,38,18,16,17,20,33,28,24,35,36,46,37,21,23,19,47,26,45,34,39,41,32,27,25,42,29,48,43,40,31,30,44,3
6,5,7,1,9,8,0,2,3,10,14,11,13,15,12,22,16,18,38,17,20,33,35,36,21,28,24,37,23,19,34,46,26,41,39,47,27,25,45,42,40,32,29,43,48,31,30,44,4
4,6,14,7,1,15,8,0,2,13,10,9,3,11,16,12,22,35,38,33,17,20,18,21,36,34,19,37,28,23,24,41,39,46,26,47,27,25,45,40,42,29,43,32,48,44,31,30,5
4,5,7,1,11,0,3,14,10,9,13,22,8,2,15,12,16,20,18,17,28,21,24,23,38,33,26,35,19,36,27,37,25,34,32,29,46,39,31,41,30,47,45,40,42,43,48,44,6
8,9,4,10,12,5,6,11,1,13,15,2,3,14,0,38,16,18,22,17,33,36,35,20,37,46,24,19,21,34,47,23,39,41,45,28,42,26,25,40,43,48,27,32,44,29,30,31,7
7,9,4,10,15,2,12,5,1,13,38,3,6,11,14,0,16,36,35,33,46,18,37,47,17,22,41,45,39,20,34,42,19,48,21,40,24,43,23,44,28,25,26,27,32,29,30,31,8
7,8,10,4,3,12,11,1,6,2,5,13,0,15,14,38,18,22,16,17,46,36,37,33,20,24,35,19,23,47,45,28,21,39,34,41,42,26,48,25,43,40,32,27,29,44,30,31,9
11,12,7,13,9,15,14,8,4,18,16,6,5,17,38,22,33,36,20,37,1,35,3,19,2,24,21,46,23,34,0,39,28,41,25,45,26,47,42,40,43,27,32,48,29,44,30,31,10
10,12,7,18,13,22,6,9,14,17,4,20,16,24,15,8,5,23,38,19,21,28,1,33,37,3,36,26,25,35,2,0,34,27,32,46,29,39,30,41,45,31,40,42,43,47,48,44,11
10,11,38,7,18,13,9,8,15,37,16,36,17,33,46,14,4,22,6,19,35,5,20,39,24,45,34,1,47,42,41,3,23,2,43,21,40,48,25,0,28,26,44,32,27,29,30,31,12
15,14,16,10,12,11,17,33,7,18,35,5,38,22,8,4,36,20,6,34,19,37,21,9,23,39,1,24,41,2,46,40,25,3,0,28,26,42,47,45,27,43,44,29,48,32,30,31,13
13,15,16,5,10,22,11,6,4,17,7,20,21,33,12,35,18,8,9,19,38,1,34,36,23,0,28,24,2,37,3,26,27,25,39,41,40,46,29,47,32,42,45,30,43,31,44,48,14
13,14,35,16,10,8,33,38,5,7,12,36,4,11,17,34,18,6,41,37,9,39,22,20,1,2,19,46,21,47,40,45,0,42,3,23,24,43,44,25,48,28,26,27,29,32,30,31,15
17,33,13,14,34,35,18,15,19,20,36,10,21,22,37,38,12,11,23,39,7,40,5,24,25,41,8,4,6,9,26,46,42,27,28,43,45,47,1,44,29,2,32,30,3,0,48,31,16
18,19,16,20,21,22,33,13,23,34,24,25,11,37,14,10,36,12,35,15,38,26,28,27,7,39,40,6,29,5,4,8,32,30,41,9,43,46,42,45,31,47,1,44,3,2,48,0,17
17,19,16,12,11,20,24,37,10,13,22,23,33,36,25,38,21,14,34,15,7,35,26,9,28,39,46,8,6,40,4,27,32,43,29,5,42,41,30,45,47,1,31,44,3,48,2,0,18
17,18,34,16,20,25,33,21,37,23,36,24,22,13,35,40,12,38,14,26,11,39,10,27,15,43,28,30,29,41,42,32,46,7,45,44,8,6,5,31,4,9,47,48,1,3,2,0,19
22,21,23,17,19,24,25,18,26,16,28,27,14,11,13,10,33,29,34,12,32,30,15,37,35,6,36,31,7,38,5,4,9,8,39,40,41,1,46,43,42,3,0,2,45,47,44,48,20
20,22,23,17,27,19,25,26,16,28,14,24,18,13,34,33,29,11,30,10,35,15,32,31,37,36,12,6,5,38,7,4,40,39,8,9,41,1,43,42,46,0,3,2,45,47,44,48,21
20,21,23,17,11,14,28,24,26,18,13,16,10,27,6,19,25,12,15,29,4,7,5,33,32,34,9,30,31,35,37,36,8,38,1,3,0,2,39,40,41,46,43,42,45,47,44,48,22
25,24,26,20,22,28,27,21,29,17,19,18,32,30,31,16,11,14,13,10,34,33,37,12,36,6,15,35,7,38,4,9,5,40,39,8,43,46,41,42,1,3,45,0,2,44,47,48,23
23,25,20,26,18,32,28,22,29,17,19,30,11,27,21,31,16,10,12,13,37,14,33,34,6,36,7,9,15,38,4,35,5,8,39,40,46,43,1,42,3,41,45,0,2,47,44,48,24
23,24,26,20,19,30,27,21,29,17,18,32,28,22,31,16,34,11,37,33,13,14,10,36,12,35,40,15,38,39,6,43,7,4,42,9,5,41,46,8,45,44,1,47,3,48,0,2,25
27,28,23,29,25,24,31,32,30,20,22,21,17,19,18,11,16,14,13,10,6,34,33,12,37,15,7,4,36,5,35,9,38,8,40,39,1,3,0,43,46,41,42,2,45,47,44,48,26
26,28,29,23,21,31,25,30,20,22,24,32,17,19,18,16,14,11,13,34,33,10,6,12,37,15,35,5,36,4,7,38,9,40,39,8,1,0,3,41,43,42,46,2,45,44,47,48,27
26,27,29,23,22,31,24,32,20,21,25,30,11,17,18,14,19,6,16,13,10,12,4,7,5,33,9,15,34,37,35,36,1,8,3,38,0,2,39,40,46,41,43,42,45,47,44,48,28
30,32,31,26,28,27,23,25,24,20,22,21,17,19,18,11,16,14,13,10,34,6,12,37,33,36,7,15,4,9,35,5,38,40,8,39,43,1,3,46,0,42,41,2,45,44,47,48,29
29,31,32,26,25,27,23,24,28,20,21,19,22,17,18,11,16,34,14,37,13,33,10,12,36,6,35,15,40,38,7,4,9,39,43,5,8,42,46,41,1,3,45,44,0,47,2,48,30
29,32,30,26,28,27,23,25,24,20,22,21,17,19,18,11,16,14,6,13,10,34,12,33,37,4,7,15,9,5,36,35,38,8,1,3,40,0,39,43,46,2,41,42,45,44,47,48,31
29,31,30,26,24,28,23,25,27,20,22,21,18,17,19,11,16,10,14,12,13,6,37,34,33,7,9,36,4,15,38,5,35,8,3,40,43,1,39,46,0,42,41,2,45,44,47,48,32
34,35,16,36,38,37,17,13,39,15,19,40,41,18,14,12,10,20,42,21,11,43,46,22,45,8,47,7,44,23,25,5,24,4,9,6,48,26,27,28,1,2,29,30,3,32,0,31,33
