1,2,37,3,4,38,5,39,11,10,6,9,7,8,40,41,42,12,20,44,13,43,14,45,19,18,15,17,46,47,48,16,53,21,23,25,50,49,59,24,22,60,52,28,58,54,27,51,26,65,55,66,32,29,64,56,30,61,57,36,63,31,62,33,67,68,34,70,35,69,0
0,37,3,2,4,38,39,5,11,40,6,42,41,9,10,7,8,43,44,45,12,14,13,20,46,48,47,15,17,19,18,53,50,49,60,52,16,59,25,21,51,54,58,23,55,28,24,66,65,22,64,27,57,56,61,26,32,29,62,63,30,67,68,36,31,33,69,70,34,35,1
1,3,37,0,38,39,4,40,5,42,45,44,43,41,6,11,7,9,10,46,8,48,47,50,53,49,60,59,12,52,14,20,58,13,66,51,17,65,15,54,55,19,18,64,61,57,56,16,25,62,21,63,23,67,68,28,24,22,69,70,27,26,29,32,30,36,31,33,34,35,2
4,1,5,2,37,0,38,6,7,11,39,9,8,10,42,40,41,12,14,20,45,43,13,17,15,44,18,19,48,46,16,47,25,21,28,50,23,49,53,24,22,27,60,52,51,59,26,29,54,32,58,30,55,66,65,31,57,36,56,64,61,33,34,62,63,35,67,68,69,70,3
3,5,6,1,11,7,37,9,0,38,10,8,2,12,14,39,13,20,17,15,42,40,18,19,41,16,43,25,45,21,28,44,23,24,48,22,46,27,47,26,32,29,30,49,50,53,31,52,36,51,60,33,54,59,34,58,55,35,66,57,65,56,61,64,62,63,67,68,69,70,4
4,6,8,7,3,9,11,10,1,12,0,20,14,17,37,15,2,13,18,38,19,16,25,21,39,28,24,23,42,22,27,40,41,26,29,32,30,43,45,44,31,36,33,48,46,34,47,35,50,49,53,52,51,60,59,54,58,55,66,65,57,56,64,61,62,63,67,68,69,70,5
7,8,5,9,11,10,4,12,14,17,15,20,13,3,18,19,16,25,1,21,0,28,37,24,23,38,22,27,2,29,26,32,30,39,31,42,36,40,33,41,34,35,43,45,44,48,46,47,49,50,53,51,52,60,54,59,58,55,57,66,65,56,61,64,62,63,67,68,69,70,6
6,8,5,9,14,11,4,12,17,10,15,3,13,20,16,18,19,28,1,25,37,21,38,0,24,27,22,2,23,29,32,39,30,42,26,31,40,41,33,36,34,43,45,35,48,44,46,47,49,50,53,51,52,54,60,59,55,58,57,66,56,65,61,64,62,63,67,68,69,70,7
6,7,17,5,9,20,10,15,12,18,14,11,4,25,19,16,13,21,28,24,3,23,27,22,29,26,1,0,32,30,37,31,2,38,36,33,34,39,35,42,40,41,43,45,44,48,46,47,50,49,53,51,52,60,54,59,58,55,66,57,65,56,64,61,62,63,67,68,69,70,8
10,11,6,12,13,8,14,7,5,15,20,17,18,4,19,16,3,21,25,28,0,22,23,1,24,37,27,38,32,26,2,30,29,31,36,39,33,42,41,40,34,35,43,45,44,48,47,46,53,49,50,52,51,54,60,59,58,55,57,56,66,65,61,64,62,63,67,68,69,70,9
9,11,6,12,20,19,13,8,18,5,15,7,14,4,17,16,21,23,3,0,25,22,24,1,28,37,27,26,32,2,38,30,29,36,33,31,39,34,35,42,41,40,43,44,45,48,47,46,53,49,50,52,51,54,60,59,58,55,65,66,56,57,61,64,62,63,67,68,70,69,10
9,10,12,6,13,14,4,7,5,8,15,3,19,17,20,18,16,0,1,37,38,21,2,22,28,23,25,24,39,27,32,41,42,40,26,30,29,31,36,33,43,44,45,47,34,48,35,46,53,49,50,52,51,54,60,59,55,58,57,56,65,66,61,64,62,63,67,68,70,69,11
13,14,15,9,11,16,17,10,18,6,19,7,8,20,21,5,28,22,4,24,25,23,32,27,30,3,26,29,31,36,0,1,33,37,38,35,34,2,39,42,41,40,43,45,44,48,47,46,49,53,50,52,51,54,60,59,55,58,57,56,66,65,61,64,62,63,67,68,69,70,12
12,14,9,15,19,11,16,10,18,17,6,20,7,21,22,8,5,23,28,32,4,24,25,27,30,26,3,36,31,29,33,0,1,37,35,38,34,2,39,41,42,40,43,44,45,47,48,46,53,49,50,52,51,54,60,59,55,58,56,57,65,66,61,64,63,62,67,68,70,69,13
12,13,15,9,7,16,11,17,6,8,10,18,19,20,5,28,4,21,22,32,27,24,25,23,30,3,31,29,26,1,37,0,33,38,36,35,34,2,39,42,41,40,43,48,45,47,44,46,49,53,50,51,52,54,60,59,55,58,57,56,66,65,61,64,62,63,67,68,69,70,14
17,16,18,12,20,19,13,14,21,9,28,8,22,10,6,24,25,27,7,23,32,11,30,26,5,29,31,36,33,4,34,35,3,0,1,37,38,2,39,42,41,40,43,45,44,48,47,46,49,53,50,51,52,54,60,59,55,58,57,56,66,65,61,64,62,63,67,68,69,70,15
15,17,18,12,28,22,32,13,14,21,19,27,24,30,20,9,25,23,31,8,10,6,29,26,7,11,33,36,35,34,5,4,3,0,1,37,38,2,39,42,41,40,43,45,48,44,47,46,49,53,50,51,52,54,60,59,55,58,57,56,66,65,61,64,62,63,67,68,69,70,16
15,16,28,8,18,12,20,14,25,6,9,21,24,7,27,19,13,10,22,29,32,23,30,11,5,26,31,33,4,36,34,35,3,1,0,37,38,2,39,42,40,41,43,45,48,44,46,47,49,50,53,51,52,54,60,59,58,55,57,66,56,65,61,64,62,63,67,68,69,70,17
20,19,15,21,23,16,17,22,12,24,25,10,13,9,8,28,27,26,14,6,32,30,11,7,36,29,5,33,31,34,4,35,3,0,1,37,38,2,39,42,41,40,43,45,44,48,47,46,53,49,50,52,51,54,60,59,58,55,66,57,65,56,61,64,62,63,67,68,69,70,18
18,20,21,15,13,23,10,22,12,16,9,17,24,14,8,25,11,6,32,28,26,27,36,7,30,5,33,29,4,31,35,34,3,0,1,37,38,2,39,41,42,40,43,44,45,47,48,46,53,49,50,52,51,54,60,59,58,55,65,56,57,66,61,64,63,62,67,68,70,69,19
18,19,15,21,10,8,17,25,23,9,12,24,6,16,22,13,26,28,5,27,14,7,11,29,32,30,4,36,33,31,3,34,0,35,1,37,2,38,39,42,40,41,43,45,44,48,46,47,53,49,50,52,51,60,54,59,58,55,66,65,57,56,64,61,62,63,67,68,69,70,20
22,23,18,24,19,25,26,20,15,27,16,17,28,32,36,30,33,29,12,13,10,8,34,31,9,35,14,6,7,11,5,4,3,0,1,37,2,38,39,42,41,40,43,45,44,48,47,46,53,49,50,52,51,54,60,59,58,55,66,57,65,56,61,64,62,63,67,68,69,70,21
21,23,32,24,18,36,16,19,30,27,26,15,33,28,25,20,17,35,31,29,13,12,34,10,14,9,8,6,11,7,5,4,3,0,1,37,38,2,39,42,41,40,43,45,44,48,47,46,53,49,50,52,51,54,60,59,58,55,57,56,66,65,61,64,62,63,67,68,69,70,22
21,22,18,24,26,19,20,25,36,15,27,16,32,17,30,33,28,29,10,12,34,13,8,9,35,31,6,14,11,7,5,4,3,0,1,37,2,38,39,42,41,40,43,45,44,48,47,46,53,49,50,52,51,60,54,59,58,55,66,65,57,56,64,61,62,63,67,68,69,70,23
25,26,21,27,29,23,28,22,30,18,36,20,17,32,33,15,16,34,19,31,35,8,12,13,10,9,14,6,7,5,11,4,3,0,1,37,2,38,39,42,40,41,43,45,44,48,46,47,49,50,53,51,52,60,54,59,58,55,66,57,65,56,64,61,62,63,67,68,69,70,24
