1,2,3,4,5,9,6,7,12,10,8,11,14,13,17,21,15,16,19,18,20,24,22,23,26,29,25,28,27,30,31,0
0,2,4,3,5,9,6,7,12,10,8,11,14,13,17,21,15,16,19,18,20,24,22,23,26,25,29,28,27,30,31,1
3,4,1,5,0,6,9,7,12,10,8,14,11,13,17,15,16,21,19,18,20,24,22,26,23,29,25,28,27,30,31,2
2,4,1,5,0,6,9,7,12,8,10,14,11,13,15,17,16,21,18,19,20,24,22,26,29,23,25,28,30,27,31,3
2,5,1,3,6,9,12,7,10,0,8,14,11,13,17,16,15,21,19,18,20,24,22,26,23,29,25,28,27,30,31,4
4,6,2,7,3,12,9,10,14,1,8,13,11,17,15,0,16,18,21,19,20,24,22,26,29,25,23,28,27,30,31,5
5,7,8,9,4,10,14,12,2,13,3,15,11,1,16,17,18,0,21,19,20,22,29,24,26,25,23,28,30,27,31,6
8,9,6,10,11,12,13,5,14,15,4,2,16,3,21,17,19,1,20,18,0,22,29,24,23,26,25,28,30,27,31,7
7,9,6,10,15,11,13,14,12,5,4,16,20,21,2,19,18,3,17,1,29,22,0,24,23,28,25,26,30,31,27,8
7,8,6,10,11,4,12,5,2,13,1,3,14,15,21,0,16,17,19,20,18,22,24,23,29,25,26,28,30,27,31,9
12,11,13,7,14,9,15,8,16,6,21,17,5,19,4,20,18,22,2,24,29,3,23,1,26,25,28,30,0,27,31,10
10,12,21,7,13,9,8,15,19,20,16,14,17,6,18,22,5,4,23,24,29,2,25,28,26,30,1,3,27,31,0,11
10,11,13,7,17,9,16,14,5,4,21,6,19,15,8,18,2,20,24,22,1,3,23,26,25,29,0,28,27,30,31,12
15,14,10,16,18,11,12,17,7,19,20,8,21,6,9,5,22,29,24,26,4,25,28,23,30,2,27,31,3,1,0,13
13,15,16,10,18,17,6,7,12,5,8,11,19,9,20,21,4,29,26,22,24,25,2,28,3,23,30,1,31,27,0,14
13,14,16,10,8,20,18,11,7,19,29,12,17,21,6,9,22,28,5,26,25,24,23,30,4,31,27,2,3,1,0,15
17,18,19,13,14,21,20,15,22,10,12,24,11,26,29,25,23,28,7,8,27,30,6,5,31,9,4,2,3,1,0,16
16,18,19,13,12,24,14,21,22,10,26,15,20,25,11,23,29,7,5,28,27,6,4,8,9,30,31,2,1,3,0,17
16,17,26,13,19,29,14,15,25,20,22,28,24,21,10,31,12,27,23,11,30,7,8,6,5,9,4,2,3,1,0,18
20,21,16,22,23,18,24,17,13,25,29,11,15,26,28,10,12,30,14,27,31,7,8,9,6,5,4,2,1,3,0,19
19,21,29,16,22,15,23,18,28,13,30,11,25,10,24,17,26,14,31,12,27,8,7,9,6,5,4,2,1,3,0,20
19,20,11,22,16,23,24,17,10,12,13,18,15,25,29,14,26,7,28,30,27,9,8,6,31,5,4,2,1,3,0,21
24,23,25,19,21,27,20,26,28,16,18,30,17,29,31,13,11,15,10,12,14,7,8,9,6,5,4,2,1,3,0,22
22,24,19,25,21,30,27,20,28,26,29,16,31,17,18,11,13,15,10,12,14,7,8,9,6,5,4,2,1,3,0,23
22,23,25,19,17,21,27,26,16,18,20,28,30,29,13,12,31,11,10,14,15,7,8,5,9,6,4,2,1,3,0,24
26,27,28,22,23,24,29,31,30,19,18,20,16,17,21,13,15,14,11,10,12,7,8,6,9,5,4,2,1,3,0,25
25,27,18,22,28,24,29,31,16,19,17,23,30,20,21,13,14,15,10,12,11,7,8,6,5,9,4,2,3,1,0,26
25,26,22,28,23,24,31,30,29,19,18,20,16,17,21,13,15,14,11,10,12,7,8,6,9,5,4,2,1,3,0,27
30,29,31,25,27,26,22,20,23,19,18,24,16,21,17,15,13,14,11,10,12,8,7,6,9,5,4,2,3,1,0,28
28,31,30,20,25,18,26,19,22,16,15,27,23,13,21,24,17,14,11,10,12,8,7,6,9,5,4,2,3,1,0,29
28,29,31,25,23,27,22,20,19,26,24,18,21,16,15,17,13,11,10,14,12,8,7,9,6,5,4,2,1,3,0,30
28,29,30,25,27,26,22,18,23,20,19,24,16,17,15,21,13,14,11,10,12,8,7,6,9,5,4,2,3,1,0,31
