1,2,3,4,5,9,7,8,10,6,11,18,12,13,16,14,17,19,15,20,23,22,21,0
0,2,3,4,5,9,7,8,10,6,11,12,18,13,16,14,17,19,15,20,23,22,21,1
4,3,5,1,6,7,0,8,10,9,11,12,13,18,14,16,17,19,15,20,23,22,21,2
2,4,5,1,6,7,0,8,10,9,11,12,13,14,18,16,19,17,15,20,23,22,21,3
2,3,1,5,10,6,0,8,9,7,11,13,18,12,19,14,17,16,15,20,22,23,21,4
6,7,8,2,3,9,10,4,11,1,12,13,0,14,16,18,17,19,15,20,23,21,22,5
5,7,8,2,13,3,4,11,10,12,9,1,14,19,0,17,18,15,16,20,21,23,22,6
5,6,2,8,12,9,3,11,1,13,10,4,0,14,16,15,18,17,19,20,23,21,22,7
10,9,11,5,12,6,7,13,2,14,18,4,16,17,1,19,3,15,0,20,23,21,22,8
8,10,11,5,16,7,1,14,18,12,2,17,4,13,6,15,19,0,3,23,20,22,21,9
8,9,18,11,5,4,13,2,6,17,19,14,1,12,7,16,3,15,20,0,22,23,21,10
13,12,8,14,15,10,9,16,5,17,6,19,7,18,20,2,21,4,23,1,3,22,0,11
11,13,14,8,7,15,16,5,9,6,10,17,19,18,2,1,20,4,3,21,23,22,0,12
11,12,14,8,6,19,15,10,5,17,7,16,9,18,20,2,21,4,23,3,22,1,0,13
16,15,17,11,12,18,13,19,20,8,9,23,21,10,22,5,7,6,2,4,1,3,0,14
14,16,11,17,21,12,13,20,19,23,18,8,22,9,10,5,6,7,2,4,1,3,0,15
14,15,17,11,9,23,12,18,20,8,21,13,19,10,22,5,7,6,2,1,4,3,0,16
19,18,14,20,16,15,22,23,21,11,10,13,8,9,12,5,6,7,4,2,1,3,0,17
17,19,10,14,20,16,22,23,9,8,11,15,21,13,12,5,4,6,2,1,7,0,3,18
17,18,14,20,13,22,21,11,10,15,8,16,23,12,9,6,5,4,7,2,1,3,0,19
21,23,22,17,18,19,14,15,16,11,13,10,8,9,12,5,6,7,4,2,1,3,0,20
20,22,23,17,15,19,14,16,18,11,13,12,10,8,9,5,6,7,4,2,1,3,0,21
20,21,23,17,18,19,14,15,16,10,11,13,8,9,12,5,6,4,7,2,1,3,0,22
20,22,21,17,16,18,14,15,19,11,9,10,8,12,13,5,7,6,1,2,4,0,3,23
