SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,6.093249999999999,0.0,1.8927196070421801,0.5283402762243983,0.0,0.0,0.0,0.03624879259296712,0.127,0.03624879259296712,2.0,0.0,0.0,0.035907714352941954,0.0,0.0,0.0,0.0,0.0,8.312056821986106,0.0,1.7
C,3.0,2.0,2.0,4.0,1.0,0.77,1.496735821713371,7.999,0.0,0.9945362339442586,1.0054937827997201,0.0,0.0,-0.1993679712454789,0.03833630991765961,-0.127,-0.1610316613278193,2.0,6.28685810260376,0.0,0.0376782987636987,0.0,0.0,0.0,0.0,0.0,9.143305422316239,0.0,1.7
C,3.0,2.0,2.0,4.0,2.0,0.77,2.519475931617526,7.324749999999999,0.0,0.9623154687307027,1.0391602675981124,0.0,0.0,-0.09224170159002221,0.1681795634781028,0.19,0.0759378618880806,2.0,7.368535607590425,0.0,0.1679454327571716,0.0,0.0,0.0,0.0,0.0,10.39784199255667,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.832653669264918,4.5013749999999995,0.0,1.754175650417577,0.5700683393718027,0.0,0.0,0.19028357227692833,-0.20260006323285,-0.19,-0.01231649095592166,2.0,4.565108865925402,0.0,-0.20197929092518271,0.0,0.0,0.0,0.0,0.0,11.956824735139918,0.0,1.5
C,3.0,2.0,2.0,4.0,3.0,0.77,3.8034868213259267,6.9876249999999995,0.0,0.9571501937895112,1.0447681110953335,0.0,0.0,-0.1220325315887164,0.19708929649889345,0.19,0.07505676491017706,2.0,7.618275851377417,0.0,0.1966712631996841,0.0,0.0,0.0,0.0,0.0,10.68138234753158,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,4.885764151082204,4.3328125,0.0,1.7544964108736198,0.5699641183660604,0.0,0.0,0.11728770074498554,-0.19986255342311632,-0.19,-0.08257485267813078,2.0,4.596792838236997,0.0,-0.1993411086742138,0.0,0.0,0.0,0.0,0.0,11.990917832135382,0.0,1.5
C,3.0,2.0,2.0,4.0,4.0,0.77,4.304161997415989,6.8190624999999985,0.0,0.9558645209998292,1.046173362469825,0.0,0.0,-0.07295267214708377,0.19956819285538885,0.19,0.12661552070830506,2.0,7.639841048726391,0.0,0.19907477142007401,0.0,0.0,0.0,0.0,0.0,10.705219324205181,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,5.6445781888463555,4.24853125,0.0,1.7559725522098824,0.569484983544592,0.0,0.0,0.10738201145952095,-0.1997657820080755,-0.19,-0.09238377054855454,2.0,4.597914429684246,0.0,-0.199253377251633,0.0,0.0,0.0,0.0,0.0,11.992052133344561,0.0,1.5
C,3.0,2.0,2.0,4.0,3.0,0.77,3.803461234191825,6.987624999999999,0.0,0.9571480674819055,1.0447704320511566,0.0,0.0,-0.056079137635098066,0.19708929649889345,0.19,0.1410101588637954,2.0,7.618275851377417,0.0,0.1966712631996841,0.0,0.0,0.0,0.0,0.0,10.68138234753158,0.0,1.7
F,1.0,3.0,3.0,7.0,4.0,0.72,4.885802883866684,4.332812499999999,0.0,1.754553527219393,0.5699455642056099,0.0,0.0,0.054021566068790314,-0.19986255342311632,-0.19,-0.145840987354326,2.0,4.596792838236997,0.0,-0.1993411086742138,0.0,0.0,0.0,0.0,0.0,11.990917832135382,0.0,1.5
C,3.0,2.0,2.0,4.0,2.0,0.77,2.519493558237449,7.32475,0.0,0.9623033441768694,1.0391733605117786,0.0,0.0,-0.03528513687063665,0.1681795634781028,0.19,0.13289442660746617,2.0,7.368535607590425,0.0,0.1679454327571716,0.0,0.0,0.0,0.0,0.0,10.39784199255667,0.0,1.7
F,1.0,3.0,3.0,7.0,3.0,0.72,2.8325677820663,4.5013749999999995,0.0,1.754137732135015,0.5700806622424508,0.0,0.0,0.05064381293887725,-0.20260006323285,-0.19,-0.15195625029397275,2.0,4.565108865925402,0.0,-0.20197929092518271,0.0,0.0,0.0,0.0,0.0,11.956824735139918,0.0,1.5
