SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,4.2865,0.0,2.2709254662492246,0.44034910650398873,0.0,0.0,0.0,0.18500492608179325,0.243,0.18500492608179325,2.0,0.0,0.0,0.18468698970530895,0.0,0.0,0.0,0.0,0.0,9.739552019727586,0.0,1.7
O,2.0,3.0,3.0,6.0,1.0,0.73,1.4283827533262925,5.103500000000001,0.0,1.421606417549821,0.7034295763264268,0.0,0.0,0.0580005959250449,-0.29282332869972705,-0.391,-0.23482273277468216,2.0,4.17528435593293,0.0,-0.29294787411562473,0.0,0.0,0.0,0.0,0.0,10.514401121585049,0.0,1.55
C,3.0,2.0,2.0,4.0,2.0,0.77,2.325566154724479,5.69425,0.0,1.0123910873933684,0.9877605724233784,0.0,0.0,0.04751024763996023,0.33957368797410226,0.7400000000000001,0.3870839356140625,2.0,8.896521307389436,0.0,0.3394831174930719,0.0,0.0,0.0,0.0,0.0,12.128008323500278,0.0,1.7
O,1.0,2.0,2.0,6.0,3.0,0.73,2.703021618485505,3.768125,0.0,1.6401258530031928,0.6097093086905041,0.0,0.0,-0.1055108435650051,-0.25622711131833187,-0.5920000000000001,-0.361737954883337,2.0,8.443067625466801,0.0,-0.2556508160548949,0.0,0.0,0.0,0.0,0.0,13.57529319628528,0.0,1.55
C,3.0,2.0,2.0,4.0,3.0,0.77,3.6374424545276316,5.705125,0.0,1.0034299308104973,0.9965817934016311,0.0,0.0,0.047360657157941424,0.3297541839537797,0.4970000000000001,0.3771148411117211,2.0,8.80590205311342,0.0,0.3289695252928414,0.0,0.0,0.0,0.0,0.0,12.01940960807209,0.0,1.7
O,1.0,2.0,2.0,6.0,4.0,0.73,4.308814059576022,3.7735624999999997,0.0,1.6673305110870762,0.5997611111596668,0.0,0.0,-0.047360657157941424,-0.27719567674225637,-0.5920000000000001,-0.3245563339001978,2.0,8.273715690153029,0.0,-0.27668956726205396,0.0,0.0,0.0,0.0,0.0,13.290432712273157,0.0,1.55
C,4.0,3.0,3.0,4.0,4.0,0.77,4.444935343736735,4.741562500000001,0.0,0.9715095990959597,1.0293259077733787,0.0,0.0,0.0,0.460546786829208,1.046,0.460546786829208,2.0,0.0,0.0,0.46089266930802175,0.0,0.0,0.0,0.0,0.0,12.610348163176761,0.0,1.7
F,1.0,3.0,3.0,7.0,5.0,0.72,5.299392090608129,3.05078125,0.0,1.7740113393896366,0.563694254820298,0.0,0.0,0.0,-0.16287782269285594,-0.317,-0.16287782269285594,2.0,5.033199148987956,0.0,-0.16291468145555676,0.0,0.0,0.0,0.0,0.0,12.464941818672537,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,4.0537306003236075,3.05078125,0.0,1.6641786218172046,0.6008970352641877,0.0,0.0,0.0,-0.16287782269285594,-0.317,-0.16287782269285594,2.0,5.033199148987956,0.0,-0.16291468145555676,0.0,0.0,0.0,0.0,0.0,12.464941818672537,0.0,1.5
F,1.0,3.0,3.0,7.0,5.0,0.72,5.445474342056897,3.05078125,0.0,1.8175184976981416,0.5502007276770411,0.0,0.0,0.0,-0.16287782269285594,-0.317,-0.16287782269285594,2.0,5.033199148987956,0.0,-0.16291468145555676,0.0,0.0,0.0,0.0,0.0,12.464941818672537,0.0,1.5
