SMILES,AtomDegreeDescriptor-aNeg,AtomHybridizationDescriptor-aHyb,AtomHybridizationVSEPRDescriptor-hybr,AtomValenceDescriptor-val,BondsToAtomDescriptor-bondsToAtom,CovalentRadiusDescriptor-covalentRadius,DistanceToAtomDescriptor-distanceToAtom,EffectiveAtomPolarizabilityDescriptor-effAtomPol,IPAtomicHOSEDescriptor-ipAtomicHOSE,InductiveAtomicHardnessDescriptor-indAtomHardnesss,InductiveAtomicSoftnessDescriptor-indAtomSoftness,IsProtonInAromaticSystemDescriptor-protonInArmaticSystem,IsProtonInConjugatedPiSystemDescriptor-protonInConjSystem,PartialPiChargeDescriptor-pepe,PartialSigmaChargeDescriptor-partialSigmaCharge,PartialTChargeMMFF94Descriptor-partialTCMMFF94,PartialTChargePEOEDescriptor-pepeT,PeriodicTablePositionDescriptor-periodicTablePosition,PiElectronegativityDescriptor-elecPiA,ProtonAffinityHOSEDescriptor-protonAffiHOSE,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge1,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge2,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge3,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge4,ProtonTotalPartialChargeDescriptor-protonTotalPartialCharge5,RDFProtonDescriptor_G3R-g3r_1,RDFProtonDescriptor_G3R-g3r_2,RDFProtonDescriptor_G3R-g3r_3,RDFProtonDescriptor_G3R-g3r_4
C,1.0,3.0,3.0,4.0,0.0,0.77,0.0,5.127128906250001,0.0,2.519743898848376,0.39686572927393143,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,0.0,1.7
C,2.0,3.0,3.0,4.0,1.0,0.77,1.520699819162217,6.384757812500004,0.0,1.7459245607915592,0.5727624334161521,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,0.0,1.7
C,2.0,3.0,3.0,4.0,2.0,0.77,2.5517870718380875,7.013765625000002,0.0,1.5862142253149616,0.6304318698197516,0.0,0.0,0.0,3.417063550882067E-11,0.0,3.417063550882067E-11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,0.0,1.7
C,2.0,3.0,3.0,4.0,3.0,0.77,3.1302754144004648,7.328656250000003,0.0,1.5065885190293615,0.6637512415428882,0.0,0.0,0.0,1.7490246399588434E-8,0.0,1.7490246399588434E-8,2.0,0.0,0.0,9.07167090556998E-9,0.0,0.0,0.0,0.0,0.0,7.98000008327794,0.0,1.7
C,2.0,3.0,3.0,4.0,4.0,0.77,3.7518963551782716,7.486875000000003,0.0,1.421850926439816,0.7033086109131764,0.0,0.0,0.0,2.906593546152338E-6,0.0,2.906593546152338E-6,2.0,0.0,0.0,2.253118196303673E-6,0.0,0.0,0.0,0.0,0.0,7.980020683634586,0.0,1.7
C,2.0,3.0,3.0,4.0,5.0,0.77,4.741173049995117,7.567531250000004,0.0,1.311291136285871,0.7626071528496878,0.0,0.0,0.0,1.9750950957928096E-4,0.0,1.9750950957928096E-4,2.0,0.0,0.0,1.7797628385714958E-4,0.0,0.0,0.0,0.0,0.0,7.981633881835857,0.0,1.7
C,2.0,3.0,3.0,4.0,6.0,0.77,5.837979205170226,7.610953125,0.0,1.2884742818204,0.7761117269544303,0.0,0.0,0.0,0.005751930818215331,0.0,0.005751930818215331,2.0,0.0,0.0,0.005533152228182719,0.0,0.0,0.0,0.0,0.0,8.03085189510905,0.0,1.7
C,2.0,3.0,3.0,4.0,7.0,0.77,7.022063062234631,7.638851562500001,0.0,1.2938252731126074,0.772901890835893,0.0,0.0,0.0,0.06870805016281298,0.0,0.06870805016281298,2.0,0.0,0.0,0.06803459882827866,0.0,0.0,0.0,0.0,0.0,8.61325958572252,0.0,1.7
C,3.0,3.0,3.0,4.0,8.0,0.77,7.884405718251693,7.665175781249999,0.0,1.011436811505764,0.9886925101245451,0.0,0.0,0.0,0.2933561098040406,0.56,0.2933561098040406,2.0,0.0,0.0,0.2935653037215589,0.0,0.0,0.0,0.0,0.0,10.836948992756279,0.0,1.7
F,1.0,3.0,3.0,7.0,9.0,0.72,8.983470911624304,4.512587890624999,0.0,1.6704344830325495,0.598646645622745,0.0,0.0,0.0,-0.20334570714331948,-0.317,-0.20334570714331948,2.0,4.556493526158935,0.0,-0.2028910307833312,0.0,0.0,0.0,0.0,0.0,11.945049843210928,0.0,1.5
O,2.0,3.0,3.0,6.0,9.0,0.73,8.510108806002425,8.239587890625,0.0,1.0638868341150127,0.9399495960788381,0.0,0.0,0.11022149074870187,-0.21655049928471518,-0.368,-0.1063290085360133,2.0,5.034939343929751,0.0,-0.21692748472698137,0.0,0.0,0.0,0.0,0.0,11.442706869073065,0.0,1.55
S,4.0,3.0,3.0,6.0,10.0,1.02,8.818906135116759,8.027793945312496,0.0,0.7116246028980779,1.4052352826581862,0.0,0.0,0.0,0.3714342455470263,1.145,0.3714342455470263,3.0,11.010617195428546,0.0,0.37166001869135523,0.0,0.0,0.0,0.0,0.0,13.723876984553323,0.0,1.8
O,1.0,2.0,2.0,6.0,11.0,0.73,9.536326727833941,5.99889697265625,0.0,1.464579984228455,0.6827896125637706,0.0,0.0,-0.055110745374350935,-0.18917481521458032,-0.5690000000000001,-0.24428556058893125,2.0,9.04174467824599,0.0,-0.18888799372591963,0.0,0.0,0.0,0.0,0.0,14.482003543381257,0.0,1.55
O,1.0,2.0,2.0,6.0,11.0,0.73,7.709362653942283,5.99889697265625,0.0,1.3775937955929607,0.7259033854530158,0.0,0.0,-0.055110745374350935,-0.18917481521458032,-0.5690000000000001,-0.24428556058893125,2.0,9.04174467824599,0.0,-0.18888799372591963,0.0,0.0,0.0,0.0,0.0,14.482003543381257,0.0,1.55
C,4.0,3.0,3.0,4.0,11.0,0.77,10.163257905809536,6.966896972656251,0.0,0.9409178018543314,1.0627920930279258,0.0,0.0,0.0,0.5230441053742809,1.069,0.5230441053742809,2.0,0.0,0.0,0.5234257615620662,0.0,0.0,0.0,0.0,0.0,13.300120603529408,0.0,1.7
F,1.0,3.0,3.0,7.0,12.0,0.72,10.81790966222218,4.163448486328124,0.0,1.6630095074526003,0.6013194726299557,0.0,0.0,0.0,-0.15474967949224097,-0.317,-0.15474967949224097,2.0,5.131191033798303,0.0,-0.15493485684767125,0.0,0.0,0.0,0.0,0.0,12.569603343451158,0.0,1.5
F,1.0,3.0,3.0,7.0,12.0,0.72,11.185664610562934,4.163448486328124,0.0,1.5929469776366791,0.6277672854394787,0.0,0.0,0.0,-0.15474967949224097,-0.317,-0.15474967949224097,2.0,5.131191033798303,0.0,-0.15493485684767125,0.0,0.0,0.0,0.0,0.0,12.569603343451158,0.0,1.5
F,1.0,3.0,3.0,7.0,12.0,0.72,9.880758339823922,4.163448486328124,0.0,1.5591236011337521,0.6413859679071161,0.0,0.0,0.0,-0.15474967949224097,-0.317,-0.15474967949224097,2.0,5.131191033798303,0.0,-0.15493485684767125,0.0,0.0,0.0,0.0,0.0,12.569603343451158,0.0,1.5
