Group,IsPFAS(haveCF2),Compound name,Code,Solvent_used_for_NMR,SMILES,Internal Standard,FluorineInConjSystem,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
,False,O-ethyl S-(1-fluorononyl) carbonodithioate,From_Review_55,CDCl3,CCCCCCCCC(F)SC(=S)OCC,,0.0,,,,,,,,,,-154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(1-fluorononyl)(phenyl)sulfane,From_Review_56,CDCl3,CCCCCCCCC(F)Sc1ccccc1,,0.0,,,,,,,,,,-145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(1-fluoroheptyl)(methyl)sulfane,From_Review_57,CDCl3,CCCCCCC(F)SC,,0.0,,,,,,,,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,((fluoromethyl)sulfinyl)benzene,From_Review_58,CDCl3,O=S(CF)c1ccccc1,,0.0,,,,-213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(((fluoromethyl)sulfonyl)methyl)benzene,From_Review_59,CDCl3,O=S(=O)(CF)Cc1ccccc1,,0.0,,,,,-212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,((fluoromethyl)sulfonyl)benzene,From_Review_60,CDCl3,O=S(=O)(CF)c1ccccc1,,0.0,,,,,-211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,1-fluoro-2-methoxyethane,From_Review_61,CDCl3,COCCF,,0.0,,,,,-223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoroethan-1-ol,From_Review_62,CDCl3,OCCF,,0.0,,,,-227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,5-fluorooctan-4-ol,From_Review_63,CDCl3,CCCC(O)C(F)CCC,,0.0,,,,,,,-191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,3-fluorobutan-1-ol,From_Review_64,CDCl3,CC(F)CCO,,0.0,,,-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(fluoro(nitro)methyl)benzene,From_Review_65,CDCl3,O=[N+](O)C(F)c1ccccc1,,0.0,,,,,-137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,ethyl 2-(diethoxyphosphoryl)-2-fluoroacetate,From_Review_66,CDCl3,CCOC(=O)C(F)P(=O)(OCC)OCC,,0.0,,,,,,,-211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,diethyl (1-fluoroheptyl)phosphonate,From_Review_67,CDCl3,CCCCCCC(F)P(=O)(OCC)OCC,,0.0,,,,,,,,-210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,tetraethyl (fluoromethylene)bis(phosphonate),From_Review_68,CDCl3,CCOP(=O)(OCC)C(F)P(=O)(OCC)OCC,,0.0,,,,,,,,,,-228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(fluoromethyl)diphenylphosphine oxide,From_Review_69,CDCl3,O=P(CF)(c1ccccc1)c1ccccc1,,0.0,,,,-242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,(Z)-(fluoromethylene)(mesityl)phosphane,From_Review_70,CDCl3,Cc1cc(C)c(/P=C\F)c(C)c1,,1.0,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,fluorotrimethylsilane,From_Review_71,CDCl3,C[Si](C)(C)F,,0.0,,,,,-158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,2-fluoroacetaldehyde,From_Review_72,CDCl3,O=CCF,,0.0,,,,-232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,False,1-fluoropropan-2-one,From_Review_73,CDCl3,CC(=O)CF,,0.0,,,,,-226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
