,Group,IsPFAS(haveCF2),CAS,Compound name,Code,Solvent_used_for_NMR,Source,Note,SMILES,Internal Standard,FluorineInConjSystem,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
130,Perfluorinated ethers,TRUE,151772-59-7,"perfluoro(3,6,9-trioxadecanoic) acid",ether_17,D2O,EtherPFAS,,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,"hexafluorobenzene, ����",0,,,,,-79.7,-79.7,,,-90.3,-90.3,,-90.3,-90.3,,,-90.5,-90.5,,-92.3,-92.3,,,-57,-57,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Perfluorinated ethers,TRUE,330562-41-,"Perfluoro-3,6,9-trioxatridecanoic acid",ether_18,D2O,EtherPFAS,,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"hexafluorobenzene, ����",0,,,,,-79.6,-79.6,,,-90.6,-90.6,,-90.6,-90.6,,,-90.8,-90.8,,-90.8,-90.8,,,-85.4,-85.4,,-128.4,-128.4,,-128.5,-128.5,,-82.9,-82.9,-82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Per- and polyfluorinated carboxylic acids,TRUE,,Pentafluoropropionic acid,COOH_23,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-123.42,-123.42,,-84.9,-84.9,-84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluoropentanoic acid,COOH_24,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.48,-120.48,,-125.07,-125.07,,-127.34,-127.34,,-82.64,-82.64,-82.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluorohexanoic acid,COOH_25,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.23,-120.23,,-123.75,-123.75,,-124.31,-124.31,,-127.49,-127.49,,-82.48,-82.48,-82.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluoroheptanoic acid,COOH_26,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.19,-120.19,,-122.91,-122.91,,-123.92,-123.92,,-124.09,-124.09,,-127.36,-127.36,,-82.43,-82.43,-82.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluorooctanoic acid,COOH_27,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.17,-120.17,,-122.72,-122.72,,-123.07,-123.07,,-123.8,-123.8,,-124.07,-124.07,,-127.31,-127.31,,-82.39,-82.39,-82.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluorononanoic acid,COOH_28,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.1,-120.1,,-122.66,-122.66,,-122.89,-122.89,,-122.89,-122.89,,-123.72,-123.72,,-124.3,-124.3,,-127.27,-127.27,,-82.37,-82.37,-82.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluorodecanoic acid,COOH_29,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.1,-120.1,,-122.8,-122.8,,-122.8,-122.8,,-122.8,-122.8,,-122.8,-122.8,,-123.73,-123.73,,-124.01,-124.01,,-127.27,-127.27,,-82.36,-82.36,-82.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluoroundecanoic acid,COOH_30,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.16,-120.16,,-122.69,-122.69,,-122.69,-122.69,,-122.69,-122.69,,-122.69,-122.69,,-122.69,-122.69,,-123.7,-123.7,,-124.05,-124.05,,-127.27,-127.27,,-82.37,-82.37,-82.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluorotridecanoic acid,COOH_31,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.16,-120.16,,-122.66,-122.66,,-122.66,-122.66,,-122.66,-122.66,,-122.66,-122.66,,-122.66,-122.66,,-122.66,-122.66,,-121.73,-121.73,,-121.58,-121.58,,-122.95,-122.95,,-126.2,-126.2,,-81.26,-81.26,-81.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Per- and polyfluorinated carboxylic acids,TRUE,,Perfluorotetradecanoic acid,COOH_32,CD3OD,JHM,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-120.11,-120.11,,-122.64,-122.64,,-122.64,-122.64,,-122.64,-122.64,,-122.64,-122.64,,-122.64,-122.64,,-122.64,-122.64,,-122.64,-122.64,,-121.72,-121.72,,-122.58,-122.58,,-122.93,-122.93,,-126.15,-126.15,,-81.25,-81.25,-81.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Per- and polyfluorinated sulfur-containing compounds,TRUE,,Trifluoromethanesulfonic acid,SO3H_17,CD3OD,JHM,,O=S(=O)(O)C(F)(F)F,HFB -166 ppm,,,,,,,-80.16,-80.16,-80.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Per- and polyfluorinated sulfur-containing compounds,TRUE,,Perfluorobutanesulfonic acid,SO3H_18,CD3OD,JHM,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,-116.03,-116.03,,-123.28,-123.28,,-127.39,-127.39,,-82.3,-82.3,-82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Per- and polyfluorinated sulfur-containing compounds,TRUE,,Sodium Perfluoro-1-pentanesulfonate,SO3H_19,CD3OD,JHM,,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],HFB -166 ppm,,,,,,,-115.74,-115.74,,-121.94,-121.94,,-123.7,-123.7,,-127.39,-127.39,,-82.49,-82.49,-82.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Per- and polyfluorinated sulfur-containing compounds,TRUE,,Perfluorohexanesulfonic acid,SO3H_20,CD3OD,JHM,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,-115.71,-115.71,,-121.74,-121.74,,-122.88,-122.88,,-123.83,-123.83,,-127.33,-127.33,,-82.44,-82.44,-82.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Per- and polyfluorinated sulfur-containing compounds,TRUE,,Perfluoro-1-heptanesulfonic acid,SO3H_21,CD3OD,JHM,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,-115.68,-115.68,,-121.69,-121.69,,-122.69,-122.69,,-122.99,-122.99,,-123.76,-123.76,,-127.32,-127.32,,-82.41,-82.41,-82.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Per- and polyfluorinated sulfur-containing compounds,TRUE,,Potassium perfluorooctanesulfonate,SO3H_22,CD3OD,JHM,,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],HFB -166 ppm,,,,,,,-115.69,-115.69,,-121.67,-121.67,,-122.65,-122.65,,-122.82,-122.82,,-122.93,-122.93,,-123.74,-123.74,,-127.28,-127.28,,-82.37,-82.37,-82.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Per- and polyfluorinated sulfur-containing compounds,TRUE,,Perfluoro-1-decanesulfonic acid,SO3H_23,CD3OD,JHM,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,-115.68,-115.68,,-121.67,-121.67,,-122.71,-122.71,,-122.71,-122.71,,-122.71,-122.71,,-122.71,-122.71,,-122.86,-122.86,,-123.69,-123.69,,-127.26,-127.26,,-82.35,-82.35,-82.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Per- and polyfluorinated sulfur-containing compounds,TRUE,,"1H, 1H, 2H, 2H-Perfluorohexane sulfonic acid",SO3H_24,CD3OD,JHM,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,,,-115.38,-115.38,,-125.56,-125.56,,-127.25,-127.25,,-82.68,-82.68,-82.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Per- and polyfluorinated sulfur-containing compounds,TRUE,,"1H, 1H, 2H, 2H-perfluorooctane sulfonic acid",SO3H_25,CD3OD,JHM,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,,,-115.13,-115.13,,-122.92,-122.92,,-123.9,-123.9,,-124.56,-124.56,,-127.34,-127.34,,-82.43,-82.43,-82.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Per- and polyfluorinated sulfur-containing compounds,TRUE,,"1H, 1H, 2H, 2H-Perfluorodecane sulfonic acid",SO3H_26,CD3OD,JHM,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,,,-115.11,-115.11,,-122.7,-122.7,,-123.73,-123.73,,-123.73,-123.73,,-123.73,-123.73,,-124.5,-124.5,,-127.28,-127.28,,-82.37,-82.37,-82.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Polyfluorinated ethers,TRUE,,Perfluoro-3-methoxypropanoic acid,ether_19,CD3OD,JHM,From JHM revised,O=C(O)C(F)(F)C(F)(F)OC(F)(F)F,HFB -166 ppm,,,,,,-123.4,-123.4,,-89.28,-89.28,,,-56.91,-56.91,-56.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Polyfluorinated ethers,TRUE,,Perfluoro-4-methoxybutanoic acid,ether_20,CD3OD,JHM,From JHM revised,O=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,HFB -166 ppm,,,,,,-120.77,-120.77,,-128.46,-128.46,,-86.9,-86.9,,,-56.75,-56.75,-56.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Polyfluorinated ethers,TRUE,,Perfluoro(2-ethoxyethane)sulfonic acid,ether_21,CD3OD,JHM,From JHM revised,O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,,-119.58,-119.58,,-89.7,-89.7,,,-88.34,-88.34,,-83.72,-83.72,-83.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Polyfluorinated alcohols,TRUE,,4:2 Fluorotelomer alcohol,alcohols_11,CD3OD,JHM,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFB -166 ppm,,,,,,-114.96,-114.96,,-125.81,-125.81,,-127.28,-127.28,,-82.73,-82.73,-82.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
