,Group,IsPFAS(haveCF2),CAS,Compound name,Code,Solvent_used_for_NMR,Source,Note,SMILES,Internal Standard,FluorineInConjSystem,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
176,,FALSE,,bromodifluoromethane,From_Review_13,CDCl3,,,FC(F)Br,,0,-70,,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,FALSE,,chlorodifluoromethane,From_Review_14,CDCl3,,,FC(F)Cl,,0,-73,,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,FALSE,,fluoroform,From_Review_15,CDCl3,,,FC(F)F,,0,-78,,-78,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,FALSE,,"1,1-difluoroethane",From_Review_16,CDCl3,,,CC(F)F,,0,,,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,FALSE,,chlorofluoromethane,From_Review_17,CDCl3,,,FCCl,,0,-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,FALSE,,fluoroiodomethane,From_Review_18,CDCl3,,,FCI,,0,-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,FALSE,,fluoromethane,From_Review_19,CDCl3,,,CF,,0,,-268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,FALSE,,difluoromethane,From_Review_20,CDCl3,,,FCF,,0,-148,,-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,FALSE,,(Z)-1-chloro-2-fluoroethene,From_Review_21,CDCl3,,,F/C=C\Cl,,1,-127.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,FALSE,,3-(fluoromethyl)pentane,From_Review_22,CDCl3,,,CCC(CC)CF,,0,,,,,,,-226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,FALSE,,"1-fluoro-2,2-dimethylpropane",From_Review_23,CDCl3,,,CC(C)(C)CF,,0,,,,,,-223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,FALSE,,(fluoromethyl)cyclopropane,From_Review_24,CDCl3,,,FCC1CC1,,0,-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,FALSE,,3-fluoro-2-methylpentane,From_Review_25,CDCl3,,,CCC(F)C(C)C,,0,,,,-189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,FALSE,,2-fluoropropane,From_Review_26,CDCl3,,,CC(C)F,,0,,,,-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,FALSE,,fluorocyclohexane,From_Review_27,CDCl3,,,FC1CCCCC1,,0,-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,FALSE,,fluorocyclopentane,From_Review_28,CDCl3,,,FC1CCCC1,,0,-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,FALSE,,fluorocyclobutane,From_Review_29,CDCl3,,,FC1CCC1,,0,-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,FALSE,,fluorocyclopropane,From_Review_30,CDCl3,,,FC1CC1,,0,-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,FALSE,,3-ethyl-3-fluoropentane,From_Review_31,CDCl3,,,CCC(F)(CC)CC,,0,,,,-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,FALSE,,1-fluoro-1-methylcyclopentane,From_Review_32,CDCl3,,,CC1(F)CCCC1,,0,,,-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,FALSE,,1-bromo-2-fluoroethane,From_Review_33,CDCl3,,,FCCBr,,0,-212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,FALSE,,"1,2-difluoroethane",From_Review_34,CDCl3,,,FCCF,,0,-226,,,-226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,FALSE,,2-bromo-1-fluoropropane,From_Review_35,CDCl3,,,CC(Br)CF,,0,,,,,-210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,FALSE,,2-fluoroheptane,From_Review_36,CDCl3,,,CCCCCC(C)F,,0,,,,,,,,-172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,FALSE,,1-chloro-2-fluoroundecane,From_Review_37,CDCl3,,,CCCCCCCCCC(F)CCl,,0,,,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,FALSE,,1-bromo-2-fluorododecane,From_Review_38,CDCl3,,,CCCCCCCCCCC(F)CBr,,0,,,,,,,,,,,,-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,FALSE,,2-fluoro-1-iodododecane,From_Review_39,CDCl3,,,CCCCCCCCCCC(F)CI,,0,,,,,,,,,,,,-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,FALSE,,"1,1,1-trichloro-2-fluoroethane",From_Review_40,CDCl3,,,FCC(Cl)(Cl)Cl,,0,-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,FALSE,,"1,1-dichloro-2-fluoroethane",From_Review_41,CDCl3,,,FCC(Cl)Cl,,0,-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,FALSE,,"(1,2-difluoroethyl)benzene",From_Review_42,CDCl3,,,FCC(F)c1ccccc1,,0,-223,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,TRUE,,"1,1,1,2,3,3,3-heptafluoropropan-2-ol",From_Review_43,CDCl3,,,OC(F)(C(F)(F)F)C(F)(F)F,,0,,,-126,,-83,-83,-83,,-83,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,FALSE,,fluoromethyl 1-naphthoate,From_Review_44,CDCl3,,,O=C(OCF)c1cccc2ccccc12,,0,,,,,-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,FALSE,,1-(fluoromethoxy)octane,From_Review_45,CDCl3,,,CCCCCCCCOCF,,0,,,,,,,,,,,-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,FALSE,,(fluoromethoxy)benzene,From_Review_46,CDCl3,,,FCOc1ccccc1,,0,-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,FALSE,,((1-fluorononyl)oxy)benzene,From_Review_47,CDCl3,,,CCCCCCCCC(F)Oc1ccccc1,,0,,,,,,,,,,-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,FALSE,,1-fluorononyl acetate,From_Review_48,CDCl3,,,CCCCCCCCC(F)OC(C)=O,,0,,,,,,,,,,-129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,TRUE,,1-fluorononyl trifluoromethanesulfonate,From_Review_49,CDCl3,,,CCCCCCCCC(F)OS(=O)(=O)C(F)(F)F,,0,,,,,,,,,,-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,FALSE,,(fluoromethyl)(phenyl)sulfane,From_Review_50,CDCl3,,,FCSc1ccccc1,,0,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,FALSE,,(fluoromethyl)(methyl)sulfane,From_Review_51,CDCl3,,,CSCF,,0,,,,-189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,FALSE,,dodecyl(fluoromethyl)sulfane,From_Review_52,CDCl3,,,CCCCCCCCCCCCSCF,,0,,,,,,,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,FALSE,,(1l2-ethyl)(ethyl)sulfane hydrofluoride,From_Review_53,CDCl3,,,CCSC(C)F,,0,,,,,,-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,FALSE,,(2-fluoropropan-2-yl)(phenyl)sulfane,From_Review_54,CDCl3,,,CC(C)(F)Sc1ccccc1,,0,,,,-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,FALSE,,O-ethyl S-(1-fluorononyl) carbonodithioate,From_Review_55,CDCl3,,,CCCCCCCCC(F)SC(=S)OCC,,0,,,,,,,,,,-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,FALSE,,(1-fluorononyl)(phenyl)sulfane,From_Review_56,CDCl3,,,CCCCCCCCC(F)Sc1ccccc1,,0,,,,,,,,,,-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,FALSE,,(1-fluoroheptyl)(methyl)sulfane,From_Review_57,CDCl3,,,CCCCCCC(F)SC,,0,,,,,,,,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,FALSE,,((fluoromethyl)sulfinyl)benzene,From_Review_58,CDCl3,,,O=S(CF)c1ccccc1,,0,,,,-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,FALSE,,(((fluoromethyl)sulfonyl)methyl)benzene,From_Review_59,CDCl3,,,O=S(=O)(CF)Cc1ccccc1,,0,,,,,-212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,FALSE,,((fluoromethyl)sulfonyl)benzene,From_Review_60,CDCl3,,,O=S(=O)(CF)c1ccccc1,,0,,,,,-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,FALSE,,1-fluoro-2-methoxyethane,From_Review_61,CDCl3,,,COCCF,,0,,,,,-223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,FALSE,,2-fluoroethan-1-ol,From_Review_62,CDCl3,,,OCCF,,0,,,,-227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,FALSE,,5-fluorooctan-4-ol,From_Review_63,CDCl3,,,CCCC(O)C(F)CCC,,0,,,,,,,-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,FALSE,,3-fluorobutan-1-ol,From_Review_64,CDCl3,,,CC(F)CCO,,0,,,-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,FALSE,,(fluoro(nitro)methyl)benzene,From_Review_65,CDCl3,,,O=[N+]([O-])C(F)c1ccccc1,,0,,,,,-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,FALSE,,ethyl 2-(diethoxyphosphoryl)-2-fluoroacetate,From_Review_66,CDCl3,,,CCOC(=O)C(F)P(=O)(OCC)OCC,,0,,,,,,,-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,FALSE,,diethyl (1-fluoroheptyl)phosphonate,From_Review_67,CDCl3,,,CCCCCCC(F)P(=O)(OCC)OCC,,0,,,,,,,,-210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,FALSE,,tetraethyl (fluoromethylene)bis(phosphonate),From_Review_68,CDCl3,,,CCOP(=O)(OCC)C(F)P(=O)(OCC)OCC,,0,,,,,,,,,,-228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,FALSE,,(fluoromethyl)diphenylphosphine oxide,From_Review_69,CDCl3,,,O=P(CF)(c1ccccc1)c1ccccc1,,0,,,,-242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,FALSE,,(Z)-(fluoromethylene)(mesityl)phosphane,From_Review_70,CDCl3,,,Cc1cc(C)c(/P=C\F)c(C)c1,,1,,,,,,,,,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,FALSE,,fluorotrimethylsilane,From_Review_71,CDCl3,,,C[Si](C)(C)F,,0,,,,,-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,FALSE,,2-fluoroacetaldehyde,From_Review_72,CDCl3,,,O=CCF,,0,,,,-232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,FALSE,,1-fluoropropan-2-one,From_Review_73,CDCl3,,,CC(=O)CF,,0,,,,,-226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,FALSE,,1-fluorobutan-2-one,From_Review_74,CDCl3,,,CCC(=O)CF,,0,,,,,,-228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,FALSE,,2-fluoro-2-phenylacetaldehyde,From_Review_75,CDCl3,,,O=CC(F)c1ccccc1,,0,,,,-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,FALSE,,1-fluoro-1-phenylpropan-2-one,From_Review_76,CDCl3,,,CC(=O)C(F)c1ccccc1,,0,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,FALSE,,3-fluorobutan-2-one,From_Review_77,CDCl3,,,CC(=O)C(C)F,,0,,,,,,-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,FALSE,,5-fluorooctan-4-one,From_Review_78,CDCl3,,,CCCC(=O)C(F)CCC,,0,,,,,,,-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,FALSE,,2-fluorocyclohexan-1-one,From_Review_79,CDCl3,,,O=C1CCCCC1F,,0,,,,,,,,-188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,FALSE,,2-fluorocyclopentan-1-one,From_Review_80,CDCl3,,,O=C1CCCC1F,,0,,,,,,,-194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,FALSE,,2-fluoro-2-methylpentane,From_Review_81,CDCl3,,,CCCC(C)(C)F,,0,,,,,,,-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,FALSE,,2-fluoro-2-methyl-1-phenylpropan-1-one,From_Review_82,CDCl3,,,CC(C)(F)C(=O)c1ccccc1,,0,,,,-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,FALSE,,(1-fluorohexyl)benzene,From_Review_83,CDCl3,,,CCCCCC(F)c1ccccc1,,0,,,,,,,-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,FALSE,,4-fluoro-4-phenylbutan-2-one,From_Review_84,CDCl3,,,CC(=O)CC(F)c1ccccc1,,0,,,,,,-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,FALSE,,4-fluoro-4-methylpentan-2-one,From_Review_85,CDCl3,,,CC(=O)CC(C)(C)F,,0,,,,,,,,-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,FALSE,,4-bromo-4-fluorobutan-2-one,From_Review_86,CDCl3,,,CC(=O)CC(F)Br,,0,,,,,,-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,FALSE,,ethyl 2-fluoroacetate,From_Review_87,CDCl3,,,CCOC(=O)CF,,0,,,,,,,-230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,FALSE,,ethyl 3-fluoropropanoate,From_Review_88,CDCl3,,,CCOC(=O)CCF,,0,,,,,,,,-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,FALSE,,ethyl 2-fluoropropanoate,From_Review_89,CDCl3,,,CCOC(=O)C(C)F,,0,,,,,,,,-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,FALSE,,ethyl 2-fluorobutanoate,From_Review_90,CDCl3,,,CCOC(=O)C(F)CC,,0,,,,,,,-194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,FALSE,,"2-fluoro-N,N-dimethylbutanamide",From_Review_91,CDCl3,,,CCC(F)C(=O)N(C)C,,0,,,,-187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,FALSE,,ethyl 2-fluoro-2-phenylacetate,From_Review_92,CDCl3,,,CCOC(=O)C(F)c1ccccc1,,0,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,FALSE,,ethyl 3-fluoro-3-phenylpropanoate,From_Review_93,CDCl3,,,CCOC(=O)CC(F)c1ccccc1,,0,,,,,,,,-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,FALSE,,(1-fluorohexyl)benzene,From_Review_94,CDCl3,,,CCCCCC(F)c1ccccc1,,0,,,,,,,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,FALSE,,ethyl 2-fluoro-2-methylpropanoate,From_Review_95,CDCl3,,,CCOC(=O)C(C)(C)F,,0,,,,,,,,,-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,FALSE,,ethyl 2-bromo-2-fluoroacetate,From_Review_96,CDCl3,,,CCOC(=O)C(F)Br,,0,,,,,,,-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,FALSE,,ethyl 2-ethoxy-2-fluoroacetate,From_Review_97,CDCl3,,,CCOC(=O)C(F)OCC,,0,,,,,,,-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,FALSE,,ethyl 2-fluoro-2-phenoxyacetate,From_Review_98,CDCl3,,,CCOC(=O)C(F)Oc1ccccc1,,0,,,,,,,-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,FALSE,,ethyl 2-(ethylthio)-2-fluoroacetate,From_Review_99,CDCl3,,,CCOC(=O)C(F)SCC,,0,,,,,,,-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,FALSE,,ethyl 2-fluoro-2-(phenylthio)acetate,From_Review_100,CDCl3,,,CCOC(=O)C(F)Sc1ccccc1,,0,,,,,,,-159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,FALSE,,"ethyl 2,2-dibromo-2-fluoroacetate",From_Review_101,CDCl3,,,CCOC(=O)C(F)(Br)Br,,0,,,,,,,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,FALSE,,ethyl 2-bromo-2-fluoro-2-phenoxyacetate,From_Review_102,CDCl3,,,CCOC(=O)C(F)(Br)Oc1ccccc1,,0,,,,,,,-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,FALSE,,ethyl 2-bromo-2-(ethylthio)-2-fluoroacetate,From_Review_103,CDCl3,,,CCOC(=O)C(F)(Br)SCC,,0,,,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,FALSE,,ethyl 2-bromo-2-fluoro-2-(phenylthio)acetate,From_Review_104,CDCl3,,,CCOC(=O)C(F)(Br)Sc1ccccc1,,0,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,FALSE,,ethyl 2-fluoro-3-oxobutanoate,From_Review_105,CDCl3,,,CCOC(=O)C(F)C(C)=O,,0,,,,,,,-194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,FALSE,,ethyl 2-fluoro-3-oxo-3-phenylpropanoate,From_Review_106,CDCl3,,,CCOC(=O)C(F)C(=O)c1ccccc1,,0,,,,,,,-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,FALSE,,diethyl 2-fluoromalonate,From_Review_107,CDCl3,,,CCOC(=O)C(F)C(=O)OCC,,0,,,,,,,-196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,FALSE,,2-fluoropropanenitrile,From_Review_108,CDCl3,,,CC(F)C#N,,0,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,FALSE,,2-fluoroacetonitrile,From_Review_109,CDCl3,,,N#CCF,,0,,,,-232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,FALSE,,2-fluorodecanenitrile,From_Review_110,CDCl3,,,CCCCCCCCC(F)C#N,,0,,,,,,,,,,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,FALSE,,2-fluoro-2-phenylacetonitrile,From_Review_111,CDCl3,,,N#CC(F)c1ccccc1,,0,,,,-168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,FALSE,,2-fluoro-2-(naphthalen-2-yl)acetonitrile,From_Review_112,CDCl3,,,N#CC(F)c1ccc2ccccc2c1,,0,,,,-167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,FALSE,,fluoroethene,From_Review_113,CDCl3,,,C=CF,,0,,,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,FALSE,,(E)-1-fluoroprop-1-ene,From_Review_114,CDCl3,,,C/C=C/F,,1,,,,-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,FALSE,,(E)-1-fluorohex-1-ene,From_Review_115,CDCl3,,,CCCC/C=C/F,,1,,,,,,,-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,FALSE,,(Z)-1-fluoroprop-1-ene,From_Review_116,CDCl3,,,C/C=C\F,,1,,,,-131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
